Project Key,Approach,Precision,Recall,F1,MCC,Kappa
LOG4J2,SZZu100,0.153711485,0.984304933,0.265899455,0.199583033,0.081201921
LOG4J2,PPAM,0.13,0.832,0.224,0.072,0.0291
LOG4J2,Combined ML,1,0.7197,0.837,0.8332,0.8195
LOG4J2,Combined ML + Feature Selection,1,0.713,0.8325,0.8289,0.8145
QPIDJMS,Simple,1,0.088235294,0.162162162,0.278664468,0.14411656
QPIDJMS,Proportion0.5,1,0.014705882,0.028985507,0.113218133,0.025312231
QPIDJMS,Proportion1,1,0.676470588,0.807017544,0.803287425,0.784394558
QPIDJMS,Proportion2,0.608695652,0.823529412,0.7,0.657565393,0.647257194
QPIDJMS,Merge,1,0.676470588,0.807017544,0.803287425,0.784394558
QPIDJMS,Cold Start Proportion,1,0.676470588,0.807017544,0.803287425,0.784394558
QPIDJMS,SZZu,0.153153153,1,0.265625,0.163068779,0.051805277
QPIDJMS,SZZuBest,0.153153153,1,0.265625,0.163068779,0.051805277
QPIDJMS,SZZu0,0.218487395,0.764705882,0.339869281,0.240378234,0.172507245
QPIDJMS,SZZu25,0.220930233,0.838235294,0.349693252,0.266713759,0.181183074
QPIDJMS,SZZu50,0.205047319,0.955882353,0.337662338,0.276733714,0.157213905
QPIDJMS,SZZu75,0.155251142,1,0.268774704,0.170302556,0.056370995
QPIDJMS,SZZu100,0.153153153,1,0.265625,0.163068779,0.051805277
QPIDJMS,PPAM,0.111,0.603,0.188,-0.085,-0.0402
QPIDJMS,Combined ML,0.9583,0.6765,0.7931,0.7829,0.7682
QPIDJMS,Combined ML + Feature Selection,1,0.6912,0.8174,0.8128,0.7957
SYNCOPE,Simple,1,0.114285714,0.205128205,0.331420694,0.197937916
SYNCOPE,Proportion0.5,1,0.040816327,0.078431373,0.19774295,0.075261647
SYNCOPE,Proportion1,0.994818653,0.783673469,0.876712329,0.878496504,0.871773736
SYNCOPE,Proportion2,0.572164948,0.906122449,0.701421801,0.704895196,0.684519595
SYNCOPE,Merge,0.994818653,0.783673469,0.876712329,0.878496504,0.871773736
SYNCOPE,Cold Start Proportion,0.989690722,0.783673469,0.874715262,0.87610173,0.869681577
SYNCOPE,SZZu,0.109090909,0.930612245,0.195289079,0.246599473,0.126988847
SYNCOPE,SZZuBest,0.141716567,0.869387755,0.243707094,0.290175871,0.182248612
SYNCOPE,SZZu0,0.141716567,0.869387755,0.243707094,0.290175871,0.182248612
SYNCOPE,SZZu25,0.140526976,0.914285714,0.243610658,0.298533431,0.181607901
SYNCOPE,SZZu50,0.130360206,0.930612245,0.228686058,0.285444078,0.164641771
SYNCOPE,SZZu75,0.117404737,0.930612245,0.208504801,0.262464591,0.141904024
SYNCOPE,SZZu100,0.109090909,0.930612245,0.195289079,0.246599473,0.126988847
SYNCOPE,PPAM,0.045,0.722,0.086,0.013,0.0037
SYNCOPE,Combined ML,0.5152,0.7592,0.6139,0.6051,0.5926
SYNCOPE,Combined ML + Feature Selection,0.9948,0.7838,0.8767,0.8785,0.87177
TINKERPOP,Simple,1,0.166666667,0.285714286,0.388962097,0.262820513
TINKERPOP,Proportion0.5,1,0.055555556,0.105263158,0.22319888,0.094907407
TINKERPOP,Proportion1,0.987179487,0.855555556,0.916666667,0.910188503,0.907311457
TINKERPOP,Proportion2,0.554140127,0.966666667,0.704453441,0.692250127,0.657066993
TINKERPOP,Merge,0.987179487,0.855555556,0.916666667,0.910188503,0.907311457
TINKERPOP,Cold Start Proportion,0.987179487,0.855555556,0.916666667,0.910188503,0.907311457
TINKERPOP,SZZu,0.140350877,0.977777778,0.245467225,0.179623042,0.06835879
TINKERPOP,SZZuBest,0.178723404,0.933333333,0.3,0.25778551,0.143779677
TINKERPOP,SZZu0,0.178723404,0.933333333,0.3,0.25778551,0.143779677
TINKERPOP,SZZu25,0.168650794,0.944444444,0.286195286,0.240242643,0.124753186
TINKERPOP,SZZu50,0.161111111,0.966666667,0.276190476,0.230590245,0.11043257
TINKERPOP,SZZu75,0.151041667,0.966666667,0.261261261,0.205685849,0.090207429
TINKERPOP,SZZu100,0.140350877,0.977777778,0.245467225,0.179623042,0.06835879
TINKERPOP,PPAM,0.82,0.556,0.662,0.644,0.6297
TINKERPOP,Combined ML,1,0.1666,0.2857,0.389,0.2628
TINKERPOP,Combined ML + Feature Selection,0.9872,0.8556,0.9167,0.9102,0.9073
WICKET,Simple,1,0.378999549,0.549673203,0.60364862,0.534145243
WICKET,Proportion0.5,1,0.296529968,0.457420925,0.532586934,0.441941492
WICKET,Proportion1,0.799684543,0.685443894,0.738170347,0.725056385,0.722645308
WICKET,Proportion2,0.518479409,0.885083371,0.653903779,0.651857178,0.625242758
WICKET,Merge,0.799684543,0.685443894,0.738170347,0.725056385,0.722645308
WICKET,Cold Start Proportion,0.93621134,0.654799459,0.770617873,0.772064301,0.758566925
WICKET,SZZu,0.080029022,0.994141505,0.148133226,0.14195254,0.04042659
WICKET,SZZuBest,0.090264689,0.992789545,0.165483568,0.175653915,0.061104469
WICKET,SZZu0,0.099241151,0.984227129,0.180302155,0.198662889,0.078813899
WICKET,SZZu25,0.096203529,0.990085624,0.175367178,0.191991705,0.072884507
WICKET,SZZu50,0.090264689,0.992789545,0.165483568,0.175653915,0.061104469
WICKET,SZZu75,0.081652293,0.994141505,0.150909837,0.147878146,0.043736701
WICKET,SZZu100,0.080029022,0.994141505,0.148133226,0.14195254,0.04042659
WICKET,PPAM,0.076,0.666,0.136,0.068,0.0306
WICKET,Combined ML,0.7865,0.79,0.7883,0.7745,0.7745
WICKET,Combined ML + Feature Selection,0.7816,0.7886,0.7851,0.7712,0.7712
XERCESJ,Simple,1,0.511235955,0.676579926,0.694005371,0.650147582
XERCESJ,Proportion0.5,1,0.230337079,0.374429224,0.458276752,0.347131454
XERCESJ,Proportion1,1,0.837078652,0.911314985,0.905692635,0.901267423
XERCESJ,Proportion2,0.621428571,0.97752809,0.759825328,0.7471256,0.721846783
XERCESJ,Merge,1,0.837078652,0.911314985,0.905692635,0.901267423
XERCESJ,Cold Start Proportion,0.945121951,0.870786517,0.906432749,0.89615227,0.895209999
XERCESJ,SZZu,0.147993311,0.994382022,0.257641921,0.199926804,0.078497829
XERCESJ,SZZuBest,0.243283582,0.915730337,0.384433962,0.355838482,0.252538646
XERCESJ,SZZu0,0.287726358,0.803370787,0.423703704,0.376249861,0.310285222
XERCESJ,SZZu25,0.28597786,0.870786517,0.430555556,0.397245081,0.315469956
XERCESJ,SZZu50,0.243283582,0.915730337,0.384433962,0.355838482,0.252538646
XERCESJ,SZZu75,0.158514493,0.983146067,0.27301092,0.223256053,0.099895546
XERCESJ,SZZu100,0.147993311,0.994382022,0.257641921,0.199926804,0.078497829
XERCESJ,PPAM,0.136,0.77,0.232,0.103,0.052
XERCESJ,Combined ML,0.9281,0.8708,0.8986,0.8868,0.8862
XERCESJ,Combined ML + Feature Selection,1,0.8315,0.908,0.9023,0.8976
