Bug ID,Version Index,Version Name,Days from Version to FV,LOC touched from Version to FV,Bugginess
SYNCOPE-670,1,1.0.0-incubating,1019,1601,No
SYNCOPE-671,25,1.2.5,0,0,No
SYNCOPE-671,24,1.2.4,19,12,Yes
SYNCOPE-671,23,1.2.3,65,179,No
SYNCOPE-671,22,1.2.2,114,179,No
SYNCOPE-671,21,1.2.1,188,179,No
SYNCOPE-671,20,1.2.0,233,179,No
SYNCOPE-671,19,1.2.0-M1,258,179,No
SYNCOPE-671,18,1.1.8,325,179,No
SYNCOPE-671,17,1.1.7,408,179,No
SYNCOPE-671,16,1.1.6,456,179,No
SYNCOPE-671,15,1.1.5,542,179,No
SYNCOPE-671,14,1.1.4,604,179,No
SYNCOPE-671,13,1.1.3,681,179,No
SYNCOPE-671,12,1.1.2,712,179,No
SYNCOPE-671,11,1.1.1,755,179,No
SYNCOPE-671,10,1.0.8,766,179,No
SYNCOPE-671,9,1.1.0,779,179,No
SYNCOPE-671,8,1.0.7,789,179,No
SYNCOPE-671,7,1.0.6,816,179,No
SYNCOPE-671,6,1.0.5,851,179,No
SYNCOPE-671,5,1.0.4,895,179,No
SYNCOPE-671,4,1.0.2-incubating,964,179,No
SYNCOPE-671,3,1.0.3-incubating,966,179,No
SYNCOPE-671,2,1.0.1-incubating,998,179,No
SYNCOPE-671,1,1.0.0-incubating,1021,179,No
SYNCOPE-792,30,2.0.0-M3,0,0,No
SYNCOPE-792,29,2.0.0-M2,11,430,Yes
SYNCOPE-792,28,1.2.7,77,1412,No
SYNCOPE-792,27,2.0.0-M1,100,2243,No
SYNCOPE-792,26,1.2.6,148,4237,No
SYNCOPE-792,25,1.2.5,248,5838,No
SYNCOPE-792,24,1.2.4,332,7114,No
SYNCOPE-792,23,1.2.3,378,7219,No
SYNCOPE-792,22,1.2.2,427,7219,No
SYNCOPE-792,21,1.2.1,501,7219,No
SYNCOPE-792,20,1.2.0,546,7219,No
SYNCOPE-792,19,1.2.0-M1,571,7219,No
SYNCOPE-792,18,1.1.8,638,7219,No
SYNCOPE-792,17,1.1.7,721,7219,No
SYNCOPE-792,16,1.1.6,769,7219,No
SYNCOPE-792,15,1.1.5,855,7219,No
SYNCOPE-792,14,1.1.4,917,7219,No
SYNCOPE-792,13,1.1.3,994,7219,No
SYNCOPE-792,12,1.1.2,1025,7219,No
SYNCOPE-792,11,1.1.1,1068,7219,No
SYNCOPE-792,10,1.0.8,1079,7219,No
SYNCOPE-792,9,1.1.0,1092,7219,No
SYNCOPE-792,8,1.0.7,1102,7219,No
SYNCOPE-792,7,1.0.6,1129,7219,No
SYNCOPE-792,6,1.0.5,1164,7219,No
SYNCOPE-792,5,1.0.4,1208,7219,No
SYNCOPE-792,4,1.0.2-incubating,1277,7219,No
SYNCOPE-792,3,1.0.3-incubating,1279,7219,No
SYNCOPE-792,2,1.0.1-incubating,1311,7219,No
SYNCOPE-792,1,1.0.0-incubating,1334,7219,No
SYNCOPE-672,25,1.2.5,0,0,No
SYNCOPE-672,24,1.2.4,20,0,Yes
SYNCOPE-672,23,1.2.3,66,0,No
SYNCOPE-672,22,1.2.2,115,0,No
SYNCOPE-672,21,1.2.1,189,0,No
SYNCOPE-672,20,1.2.0,234,0,No
SYNCOPE-672,19,1.2.0-M1,259,0,No
SYNCOPE-672,18,1.1.8,326,0,No
SYNCOPE-672,17,1.1.7,409,0,No
SYNCOPE-672,16,1.1.6,457,0,No
SYNCOPE-672,15,1.1.5,543,0,No
SYNCOPE-672,14,1.1.4,605,0,No
SYNCOPE-672,13,1.1.3,682,0,No
SYNCOPE-672,12,1.1.2,713,0,No
SYNCOPE-672,11,1.1.1,756,0,No
SYNCOPE-672,10,1.0.8,767,0,No
SYNCOPE-672,9,1.1.0,780,0,No
SYNCOPE-672,8,1.0.7,790,0,No
SYNCOPE-672,7,1.0.6,817,0,No
SYNCOPE-672,6,1.0.5,852,0,No
SYNCOPE-672,5,1.0.4,896,0,No
SYNCOPE-672,4,1.0.2-incubating,965,0,No
SYNCOPE-672,3,1.0.3-incubating,967,0,No
SYNCOPE-672,2,1.0.1-incubating,999,0,No
SYNCOPE-672,1,1.0.0-incubating,1022,0,No
SYNCOPE-793,30,2.0.0-M3,0,0,No
SYNCOPE-793,29,2.0.0-M2,14,69,Yes
SYNCOPE-793,28,1.2.7,80,463,No
SYNCOPE-793,27,2.0.0-M1,103,466,No
SYNCOPE-793,26,1.2.6,151,558,No
SYNCOPE-793,25,1.2.5,251,1024,No
SYNCOPE-793,24,1.2.4,335,1896,No
SYNCOPE-793,23,1.2.3,381,1932,No
SYNCOPE-793,22,1.2.2,430,1932,No
SYNCOPE-793,21,1.2.1,504,1932,No
SYNCOPE-793,20,1.2.0,549,1932,No
SYNCOPE-793,19,1.2.0-M1,574,1932,No
SYNCOPE-793,18,1.1.8,641,1932,No
SYNCOPE-793,17,1.1.7,724,1932,No
SYNCOPE-793,16,1.1.6,772,1932,No
SYNCOPE-793,15,1.1.5,858,1932,No
SYNCOPE-793,14,1.1.4,920,1932,No
SYNCOPE-793,13,1.1.3,997,1932,No
SYNCOPE-793,12,1.1.2,1028,1932,No
SYNCOPE-793,11,1.1.1,1071,1932,No
SYNCOPE-793,10,1.0.8,1082,1932,No
SYNCOPE-793,9,1.1.0,1095,1932,No
SYNCOPE-793,8,1.0.7,1105,1932,No
SYNCOPE-793,7,1.0.6,1132,1932,No
SYNCOPE-793,6,1.0.5,1167,1932,No
SYNCOPE-793,5,1.0.4,1211,1932,No
SYNCOPE-793,4,1.0.2-incubating,1280,1932,No
SYNCOPE-793,3,1.0.3-incubating,1282,1932,No
SYNCOPE-793,2,1.0.1-incubating,1314,1932,No
SYNCOPE-793,1,1.0.0-incubating,1337,1932,No
SYNCOPE-673,25,1.2.5,0,0,No
SYNCOPE-673,24,1.2.4,22,215,Yes
SYNCOPE-673,23,1.2.3,68,488,Yes
SYNCOPE-673,22,1.2.2,117,1556,Yes
SYNCOPE-673,21,1.2.1,191,1674,No
SYNCOPE-673,20,1.2.0,236,1997,No
SYNCOPE-673,19,1.2.0-M1,261,2060,No
SYNCOPE-673,18,1.1.8,328,2254,No
SYNCOPE-673,17,1.1.7,411,2534,No
SYNCOPE-673,16,1.1.6,459,2693,No
SYNCOPE-673,15,1.1.5,545,2827,No
SYNCOPE-673,14,1.1.4,607,3036,No
SYNCOPE-673,13,1.1.3,684,3208,No
SYNCOPE-673,12,1.1.2,715,3269,No
SYNCOPE-673,11,1.1.1,758,3321,No
SYNCOPE-673,10,1.0.8,769,3334,No
SYNCOPE-673,9,1.1.0,782,3431,No
SYNCOPE-673,8,1.0.7,792,3602,No
SYNCOPE-673,7,1.0.6,819,3712,No
SYNCOPE-673,6,1.0.5,854,3823,No
SYNCOPE-673,5,1.0.4,898,4002,No
SYNCOPE-673,4,1.0.2-incubating,967,4321,No
SYNCOPE-673,3,1.0.3-incubating,969,4323,No
SYNCOPE-673,2,1.0.1-incubating,1001,4371,No
SYNCOPE-673,1,1.0.0-incubating,1024,5583,No
SYNCOPE-677,25,1.2.5,0,0,No
SYNCOPE-677,24,1.2.4,64,2,Yes
SYNCOPE-677,23,1.2.3,110,2,No
SYNCOPE-677,22,1.2.2,159,367,No
SYNCOPE-677,21,1.2.1,233,367,No
SYNCOPE-677,20,1.2.0,278,370,No
SYNCOPE-677,19,1.2.0-M1,303,542,No
SYNCOPE-677,18,1.1.8,370,542,No
SYNCOPE-677,17,1.1.7,453,564,No
SYNCOPE-677,16,1.1.6,501,566,No
SYNCOPE-677,15,1.1.5,587,680,No
SYNCOPE-677,14,1.1.4,649,804,No
SYNCOPE-677,13,1.1.3,726,846,No
SYNCOPE-677,12,1.1.2,757,846,No
SYNCOPE-677,11,1.1.1,800,866,No
