Days from Version to FV,LOC touched from Version to FV,Bugginess
0,0,No
43,23,Yes
95,27,Yes
155,27,No
225,304,No
267,316,No
279,316,No
345,316,No
374,316,No
432,316,No
0,0,No
39,398,Yes
91,438,No
151,438,No
221,501,No
263,1248,No
275,1443,No
341,1481,No
370,1797,No
428,1872,No
0,0,No
4,74,Yes
56,228,No
116,228,No
186,260,No
228,336,No
240,358,No
306,369,No
335,382,No
393,404,No
0,0,No
13,435,Yes
83,435,No
163,435,No
215,437,No
275,437,No
345,437,No
387,437,No
399,437,No
465,437,No
494,437,No
552,437,No
0,0,No
67,1138,Yes
147,1138,No
199,1142,No
259,1142,No
329,1169,No
371,1171,No
383,1204,No
449,1204,No
478,1214,No
536,1243,No
0,0,No
12,111,Yes
82,167,No
162,625,No
214,714,No
274,809,No
344,886,No
386,1023,No
398,1069,No
464,1069,No
493,1154,No
551,1154,No
0,0,No
11,5,Yes
36,143,Yes
106,190,Yes
186,287,No
238,402,No
298,402,No
368,455,No
410,951,No
422,953,No
488,1025,No
517,1059,No
575,1082,No
0,0,No
48,13,Yes
108,13,No
178,13,No
220,13,No
232,13,No
298,13,No
327,22,No
385,22,No
0,0,No
63,427,Yes
143,800,No
195,1429,No
255,1429,No
325,1485,No
367,2669,No
379,3014,No
445,3099,No
474,3183,No
532,3278,No
0,0,No
33,10,Yes
93,10,Yes
163,161,Yes
205,441,No
217,543,No
283,546,No
312,569,No
370,584,No
0,0,No
70,426,Yes
95,426,No
165,479,No
245,594,No
297,1140,No
357,1143,No
427,2833,No
469,3243,No
481,3362,No
547,3905,No
576,3995,No
634,4231,No
0,0,No
70,489,Yes
95,726,No
165,820,No
245,1259,No
297,1726,No
357,1729,No
427,2787,No
469,3448,No
481,3675,No
547,4416,No
576,4550,No
634,4839,No
0,0,No
72,89,Yes
97,94,No
167,105,No
247,111,No
299,149,No
359,149,No
429,165,No
471,509,No
483,548,No
549,548,No
578,578,No
636,648,No
0,0,No
35,139,Yes
115,323,No
167,868,No
227,868,No
297,868,No
339,1460,No
351,1460,No
417,1545,No
446,1545,No
504,1560,No
0,0,No
36,215,Yes
116,402,No
168,1075,No
228,1075,No
298,1086,No
340,1763,No
352,1778,No
418,1863,No
447,1863,No
505,1895,No
0,0,No
15,1256,Yes
123,1734,Yes
148,2007,Yes
218,2065,No
298,2365,No
350,2772,No
410,2772,No
480,4844,No
522,6366,No
534,6857,No
600,6967,No
629,7095,No
687,7162,No
0,0,No
54,31,Yes
134,54,No
186,94,No
246,94,No
316,150,No
358,644,No
370,708,No
436,718,No
465,748,No
523,818,No
0,0,No
34,163,Yes
114,217,No
166,268,No
226,284,No
296,380,No
338,513,No
350,578,No
416,690,No
445,745,No
503,864,No
0,0,No
34,71,Yes
114,255,No
166,800,No
226,800,No
296,800,No
338,1392,No
350,1392,No
416,1477,No
445,1477,No
503,1492,No
0,0,No
56,140,Yes
81,467,Yes
151,520,No
231,896,No
283,1061,No
343,1061,No
413,1719,No
455,1930,No
467,2038,No
533,2240,No
562,2290,No
620,2350,No
0,0,No
74,8,Yes
99,29,No
169,31,No
249,73,No
301,93,No
361,93,No
431,99,No
473,134,No
485,141,No
551,148,No
580,222,No
638,261,No
0,0,No
44,169,Yes
69,170,No
139,176,No
219,176,No
271,212,No
331,212,No
401,229,No
443,383,No
455,384,No
521,388,No
550,427,No
608,427,No
0,0,No
46,130,Yes
71,130,No
141,130,No
221,130,No
273,132,No
333,132,No
403,134,No
445,152,No
457,152,No
523,152,No
552,152,No
610,152,No
0,0,No
50,99,Yes
75,367,No
145,367,No
225,472,No
277,802,No
337,802,No
407,1106,No
449,1897,No
461,2261,No
527,2264,No
556,2287,No
614,2302,No
0,0,No
39,190,Yes
64,245,No
134,247,No
214,324,No
266,349,No
326,349,No
396,412,No
438,1105,No
450,1392,No
516,1430,No
545,1475,No
603,1492,No
0,0,No
69,164,Yes
149,164,Yes
201,258,No
261,262,No
331,262,No
373,309,No
385,309,No
451,309,No
480,315,No
538,315,No
0,0,No
44,1168,Yes
69,1211,No
139,1435,No
219,1439,No
271,1561,No
331,1565,No
401,1565,No
443,1679,No
455,1679,No
521,1679,No
550,1690,No
608,1690,No
0,0,No
44,12,Yes
96,22,No
156,22,No
226,22,No
268,22,No
280,22,No
346,22,No
375,42,No
433,162,No
0,0,No
64,9,Yes
116,13,No
176,13,No
246,13,No
288,2473,No
300,2473,No
366,2473,No
395,2473,No
453,2473,No
0,0,No
31,130,Yes
56,367,No
126,430,No
206,817,No
258,982,No
318,982,No
388,1680,No
430,1969,No
442,2102,No
508,2310,No
537,2354,No
595,2407,No
0,0,No
15,1256,Yes
123,1734,Yes
148,2007,No
218,2065,No
298,2365,No
350,2772,No
410,2772,No
480,4844,No
522,6366,No
534,6857,No
600,6967,No
629,7095,No
687,7162,No
0,0,No
19,488,Yes
127,695,Yes
152,833,No
222,880,No
302,977,No
354,1092,No
414,1092,No
484,1145,No
526,1641,No
538,1643,No
604,1715,No
633,1749,No
691,1772,No
0,0,No
105,409,Yes
130,430,Yes
200,440,Yes
280,489,Yes
332,513,Yes
392,513,Yes
462,519,Yes
504,554,Yes
516,561,Yes
582,578,Yes
611,662,Yes
669,1013,Yes
0,0,No
102,87,Yes
127,146,No
197,155,No
277,197,No
329,212,No
389,212,No
459,239,No
501,597,No
513,881,No
579,881,No
608,930,No
666,957,No
0,0,No
100,203,Yes
125,413,No
195,415,No
275,576,No
327,845,No
387,845,No
457,2484,No
499,3190,No
511,3385,No
577,3423,No
606,3468,No
664,3493,No
0,0,No
95,804,Yes
120,804,No
190,804,No
270,860,No
322,880,No
382,880,No
452,880,No
494,882,No
506,882,No
572,1000,No
601,1155,No
659,1163,No
0,0,No
93,1655,Yes
118,2639,No
188,2748,No
268,3304,No
320,3846,No
380,3846,No
450,4345,No
492,6467,No
504,7331,No
570,7354,No
599,7512,No
657,7677,No
0,0,No
94,240,Yes
119,378,Yes
189,425,No
269,522,No
321,637,No
381,640,No
451,708,No
493,1204,No
505,1218,No
571,1290,No
600,1333,No
658,1411,No
0,0,No
25,62,Yes
85,62,No
155,239,No
197,760,No
209,1041,No
275,1041,No
304,1052,No
362,1052,No
0,0,No
16,24,Yes
86,26,No
128,26,No
140,26,No
206,26,No
235,42,No
293,42,No
0,0,No
32,82,Yes
102,151,No
144,282,No
156,328,No
222,328,No
251,359,No
309,359,No
0,0,No
43,400,Yes
151,561,No
176,1073,No
246,1120,No
326,1212,No
378,1373,No
438,1373,No
508,1733,No
550,2686,No
562,2896,No
628,2934,No
657,2979,No
715,3021,No
0,0,No
29,128,Yes
137,347,No
162,778,No
232,781,No
312,883,No
364,966,No
424,966,No
494,1030,No
536,1238,No
548,1357,No
614,1359,No
643,1394,No
701,1511,No
0,0,No
59,217,Yes
101,278,No
113,283,No
179,283,No
208,505,No
266,505,No
0,0,No
67,18,Yes
109,26,No
121,40,No
187,64,No
216,99,No
274,115,No
