Bug ID,Version Index,Version Name,Days from Version to Ticket Creation,LOC touched from Version to Ticket Creation,Bugginess
QPIDJMS-236,6,0.6.0,427,2787,No
QPIDJMS-236,5,0.5.0,469,3448,No
QPIDJMS-236,4,0.4.0,481,3675,No
QPIDJMS-236,3,0.3.0,547,4416,No
QPIDJMS-236,2,0.2.0,576,4550,No
QPIDJMS-236,1,0.1.0,634,4839,No
QPIDJMS-237,13,0.20.0,0,0,No
QPIDJMS-237,12,0.11.1,72,89,Yes
QPIDJMS-237,11,0.11.0,97,94,No
QPIDJMS-237,10,0.10.0,167,105,No
QPIDJMS-237,9,0.9.0,247,111,No
QPIDJMS-237,8,0.8.0,299,149,No
QPIDJMS-237,7,0.7.0,359,149,No
QPIDJMS-237,6,0.6.0,429,165,No
QPIDJMS-237,5,0.5.0,471,509,No
QPIDJMS-237,4,0.4.0,483,548,No
QPIDJMS-237,3,0.3.0,549,548,No
QPIDJMS-237,2,0.2.0,578,578,No
QPIDJMS-237,1,0.1.0,636,648,No
QPIDJMS-197,11,0.11.0,0,0,No
QPIDJMS-197,10,0.10.0,35,139,Yes
QPIDJMS-197,9,0.9.0,115,323,No
QPIDJMS-197,8,0.8.0,167,868,No
QPIDJMS-197,7,0.7.0,227,868,No
QPIDJMS-197,6,0.6.0,297,868,No
QPIDJMS-197,5,0.5.0,339,1460,No
QPIDJMS-197,4,0.4.0,351,1460,No
QPIDJMS-197,3,0.3.0,417,1545,No
QPIDJMS-197,2,0.2.0,446,1545,No
QPIDJMS-197,1,0.1.0,504,1560,No
QPIDJMS-198,11,0.11.0,0,0,No
QPIDJMS-198,10,0.10.0,36,215,Yes
QPIDJMS-198,9,0.9.0,116,402,No
QPIDJMS-198,8,0.8.0,168,1075,No
QPIDJMS-198,7,0.7.0,228,1075,No
QPIDJMS-198,6,0.6.0,298,1086,No
QPIDJMS-198,5,0.5.0,340,1763,No
QPIDJMS-198,4,0.4.0,352,1778,No
QPIDJMS-198,3,0.3.0,418,1863,No
QPIDJMS-198,2,0.2.0,447,1863,No
QPIDJMS-198,1,0.1.0,505,1895,No
QPIDJMS-231,14,0.21.0,0,0,No
QPIDJMS-231,13,0.20.0,15,1256,Yes
QPIDJMS-231,12,0.11.1,123,1734,Yes
QPIDJMS-231,11,0.11.0,148,2007,Yes
QPIDJMS-231,10,0.10.0,218,2065,No
QPIDJMS-231,9,0.9.0,298,2365,No
QPIDJMS-231,8,0.8.0,350,2772,No
QPIDJMS-231,7,0.7.0,410,2772,No
QPIDJMS-231,6,0.6.0,480,4844,No
QPIDJMS-231,5,0.5.0,522,6366,No
QPIDJMS-231,4,0.4.0,534,6857,No
QPIDJMS-231,3,0.3.0,600,6967,No
QPIDJMS-231,2,0.2.0,629,7095,No
QPIDJMS-231,1,0.1.0,687,7162,No
QPIDJMS-199,11,0.11.0,0,0,No
QPIDJMS-199,10,0.10.0,54,31,Yes
QPIDJMS-199,9,0.9.0,134,54,No
QPIDJMS-199,8,0.8.0,186,94,No
QPIDJMS-199,7,0.7.0,246,94,No
QPIDJMS-199,6,0.6.0,316,150,No
QPIDJMS-199,5,0.5.0,358,644,No
QPIDJMS-199,4,0.4.0,370,708,No
QPIDJMS-199,3,0.3.0,436,718,No
QPIDJMS-199,2,0.2.0,465,748,No
QPIDJMS-199,1,0.1.0,523,818,No
QPIDJMS-195,11,0.11.0,0,0,No
QPIDJMS-195,10,0.10.0,34,163,Yes
QPIDJMS-195,9,0.9.0,114,217,No
QPIDJMS-195,8,0.8.0,166,268,No
QPIDJMS-195,7,0.7.0,226,284,No
QPIDJMS-195,6,0.6.0,296,380,No
QPIDJMS-195,5,0.5.0,338,513,No
QPIDJMS-195,4,0.4.0,350,578,No
QPIDJMS-195,3,0.3.0,416,690,No
QPIDJMS-195,2,0.2.0,445,745,No
QPIDJMS-195,1,0.1.0,503,864,No
QPIDJMS-196,11,0.11.0,0,0,No
QPIDJMS-196,10,0.10.0,34,71,Yes
QPIDJMS-196,9,0.9.0,114,255,No
QPIDJMS-196,8,0.8.0,166,800,No
QPIDJMS-196,7,0.7.0,226,800,No
QPIDJMS-196,6,0.6.0,296,800,No
QPIDJMS-196,5,0.5.0,338,1392,No
QPIDJMS-196,4,0.4.0,350,1392,No
QPIDJMS-196,3,0.3.0,416,1477,No
QPIDJMS-196,2,0.2.0,445,1477,No
QPIDJMS-196,1,0.1.0,503,1492,No
QPIDJMS-227,13,0.20.0,0,0,No
QPIDJMS-227,12,0.11.1,56,140,Yes
QPIDJMS-227,11,0.11.0,81,467,Yes
QPIDJMS-227,10,0.10.0,151,520,No
QPIDJMS-227,9,0.9.0,231,896,No
QPIDJMS-227,8,0.8.0,283,1061,No
QPIDJMS-227,7,0.7.0,343,1061,No
QPIDJMS-227,6,0.6.0,413,1719,No
QPIDJMS-227,5,0.5.0,455,1930,No
QPIDJMS-227,4,0.4.0,467,2038,No
QPIDJMS-227,3,0.3.0,533,2240,No
QPIDJMS-227,2,0.2.0,562,2290,No
QPIDJMS-227,1,0.1.0,620,2350,No
QPIDJMS-228,13,0.20.0,0,0,No
QPIDJMS-228,12,0.11.1,74,8,Yes
QPIDJMS-228,11,0.11.0,99,29,No
QPIDJMS-228,10,0.10.0,169,31,No
QPIDJMS-228,9,0.9.0,249,73,No
QPIDJMS-228,8,0.8.0,301,93,No
QPIDJMS-228,7,0.7.0,361,93,No
QPIDJMS-228,6,0.6.0,431,99,No
