Bug ID,Version Index,Version Name,Days from Version to FV,LOC touched from Version to FV,Bugginess
DELTASPIKE-696,2,0.2-incubating,861,514,No
DELTASPIKE-696,1,0.1-incubating,933,514,No
DELTASPIKE-648,15,1.3.0,0,0,No
DELTASPIKE-648,14,1.2.1,72,47,Yes
DELTASPIKE-648,13,1.2.0,92,47,Yes
DELTASPIKE-648,12,1.1.0,121,47,Yes
DELTASPIKE-648,11,1.0.3,162,47,Yes
DELTASPIKE-648,10,1.0.2,197,47,Yes
DELTASPIKE-648,9,1.0.1,232,47,Yes
DELTASPIKE-648,8,1.0.0,261,114,Yes
DELTASPIKE-648,7,0.7,303,114,No
DELTASPIKE-648,6,0.6,348,114,No
DELTASPIKE-648,5,0.5,530,114,No
DELTASPIKE-648,4,0.4,640,114,No
DELTASPIKE-648,3,0.3-incubating,922,114,No
DELTASPIKE-648,2,0.2-incubating,1044,114,No
DELTASPIKE-648,1,0.1-incubating,1116,114,No
DELTASPIKE-400,14,1.2.1,0,0,No
DELTASPIKE-400,13,1.2.0,15,269,Yes
DELTASPIKE-400,12,1.1.0,44,269,Yes
DELTASPIKE-400,11,1.0.3,85,269,Yes
DELTASPIKE-400,10,1.0.2,120,269,Yes
DELTASPIKE-400,9,1.0.1,155,269,Yes
DELTASPIKE-400,8,1.0.0,184,269,Yes
DELTASPIKE-400,7,0.7,226,269,Yes
DELTASPIKE-400,6,0.6,271,269,Yes
DELTASPIKE-400,5,0.5,453,269,Yes
DELTASPIKE-400,4,0.4,563,269,Yes
DELTASPIKE-400,3,0.3-incubating,845,269,No
DELTASPIKE-400,2,0.2-incubating,967,283,No
DELTASPIKE-400,1,0.1-incubating,1039,283,No
DELTASPIKE-764,13,1.2.0,0,0,No
DELTASPIKE-764,12,1.1.0,0,10,Yes
DELTASPIKE-764,11,1.0.3,41,10,Yes
DELTASPIKE-764,10,1.0.2,76,10,No
DELTASPIKE-764,9,1.0.1,111,117,No
DELTASPIKE-764,8,1.0.0,140,117,No
DELTASPIKE-764,7,0.7,182,117,No
DELTASPIKE-764,6,0.6,227,117,No
DELTASPIKE-764,5,0.5,409,117,No
DELTASPIKE-764,4,0.4,519,117,No
DELTASPIKE-764,3,0.3-incubating,801,117,No
DELTASPIKE-764,2,0.2-incubating,923,117,No
DELTASPIKE-764,1,0.1-incubating,995,117,No
DELTASPIKE-637,10,1.0.2,0,0,No
DELTASPIKE-637,9,1.0.1,34,161,Yes
DELTASPIKE-637,8,1.0.0,63,186,Yes
DELTASPIKE-637,7,0.7,105,192,No
DELTASPIKE-637,6,0.6,150,338,No
DELTASPIKE-637,5,0.5,332,474,No
DELTASPIKE-637,4,0.4,442,474,No
DELTASPIKE-637,3,0.3-incubating,724,850,No
DELTASPIKE-637,2,0.2-incubating,846,850,No
DELTASPIKE-637,1,0.1-incubating,918,850,No
DELTASPIKE-757,12,1.1.0,0,0,No
DELTASPIKE-757,11,1.0.3,38,237,Yes
DELTASPIKE-757,10,1.0.2,73,237,No
DELTASPIKE-757,9,1.0.1,108,237,No
DELTASPIKE-757,8,1.0.0,137,237,No
DELTASPIKE-757,7,0.7,179,237,No
DELTASPIKE-757,6,0.6,224,237,No
DELTASPIKE-757,5,0.5,406,237,No
DELTASPIKE-757,4,0.4,516,237,No
DELTASPIKE-757,3,0.3-incubating,798,237,No
DELTASPIKE-757,2,0.2-incubating,920,237,No
DELTASPIKE-757,1,0.1-incubating,992,237,No
DELTASPIKE-639,8,1.0.0,0,127,No
DELTASPIKE-639,7,0.7,40,264,Yes
DELTASPIKE-639,6,0.6,85,264,No
DELTASPIKE-639,5,0.5,267,349,No
DELTASPIKE-639,4,0.4,377,1587,No
DELTASPIKE-639,3,0.3-incubating,659,1587,No
DELTASPIKE-639,2,0.2-incubating,781,1587,No
DELTASPIKE-639,1,0.1-incubating,853,1587,No
DELTASPIKE-750,16,1.4.0,0,0,No
DELTASPIKE-750,15,1.3.0,48,13,Yes
DELTASPIKE-750,14,1.2.1,122,13,Yes
DELTASPIKE-750,13,1.2.0,142,74,Yes
DELTASPIKE-750,12,1.1.0,171,74,Yes
DELTASPIKE-750,11,1.0.3,212,74,Yes
