Days from Version to FV,LOC touched from Version to FV,Bugginess
1293,11604,No
1311,11626,No
0,0,No
108,252,Yes
168,475,No
190,661,No
317,9112,No
394,9244,No
521,9361,No
588,9619,No
600,9699,No
624,9821,No
642,9897,No
770,10155,No
918,10481,No
991,10803,No
1027,10899,No
1057,10989,No
1072,11064,No
1162,11196,No
1232,11327,No
1263,11388,No
1283,11457,No
1312,11524,No
1330,11546,No
0,555,No
88,1359,Yes
148,1602,No
170,2184,No
297,11179,No
374,11325,No
501,11457,No
568,11796,No
580,11902,No
604,12025,No
622,12117,No
750,12481,No
898,12807,No
971,13129,No
1007,13225,No
1037,13315,No
1052,13390,No
1142,13522,No
1212,13653,No
1243,13714,No
1263,13783,No
1292,13850,No
1310,13872,No
0,0,No
82,39,Yes
142,39,No
164,39,No
291,39,No
368,39,No
495,39,No
562,59,No
574,59,No
598,59,No
616,59,No
744,59,No
892,59,No
965,59,No
1001,59,No
1031,59,No
1046,59,No
1136,59,No
1206,59,No
1237,59,No
1257,59,No
1286,59,No
1304,59,No
0,0,No
110,9,Yes
170,9,Yes
192,149,No
319,158,No
396,158,No
523,158,No
590,568,No
602,568,No
626,568,No
644,568,No
772,568,No
920,568,No
993,568,No
1029,568,No
1059,568,No
1074,568,No
1164,568,No
1234,568,No
1265,568,No
1285,568,No
1314,568,No
1332,568,No
0,0,No
112,12,Yes
172,14,Yes
194,14,Yes
321,15,Yes
398,26,Yes
525,44,Yes
592,47,Yes
604,47,Yes
628,148,No
646,148,No
774,148,No
922,148,No
995,148,No
1031,148,No
1061,148,No
1076,148,No
1166,148,No
1236,148,No
1267,148,No
1287,148,No
1316,148,No
1334,148,No
0,0,No
116,116,Yes
176,116,No
198,116,No
325,142,No
402,142,No
529,175,No
596,175,No
608,175,No
632,175,No
650,175,No
778,186,No
926,204,No
999,204,No
1035,204,No
1065,204,No
1080,204,No
1170,204,No
1240,204,No
1271,204,No
1291,204,No
1320,204,No
1338,204,No
0,0,No
150,408,Yes
210,576,Yes
232,576,Yes
359,576,Yes
436,576,Yes
563,576,No
630,576,No
642,576,No
666,576,No
684,576,No
812,576,No
960,576,No
1033,576,No
1069,576,No
1099,576,No
1114,576,No
1204,576,No
1274,576,No
1305,576,No
1325,576,No
1354,576,No
1372,576,No
0,0,No
37,8,Yes
49,8,No
73,8,No
91,8,No
219,100,No
367,100,No
440,100,No
476,100,No
506,100,No
521,100,No
611,100,No
681,100,No
712,100,No
732,100,No
761,100,No
779,100,No
0,0,No
10,69,Yes
32,255,Yes
159,8706,Yes
236,8838,Yes
363,8955,Yes
430,9213,Yes
442,9293,Yes
466,9415,Yes
484,9491,No
612,9749,No
760,10075,No
833,10397,No
869,10493,No
899,10583,No
914,10658,No
1004,10790,No
1074,10921,No
1105,10982,No
1125,11051,No
1154,11118,No
1172,11140,No
0,0,No
34,139,Yes
46,139,No
70,139,No
88,227,No
216,237,No
364,435,No
437,435,No
473,435,No
503,435,No
518,435,No
608,435,No
678,435,No
709,435,No
729,435,No
758,435,No
776,435,No
0,0,No
28,108,Yes
40,188,No
64,310,No
82,386,No
210,644,No
358,970,No
431,1292,No
467,1388,No
497,1478,No
512,1553,No
602,1685,No
672,1816,No
703,1877,No
723,1946,No
752,2013,No
770,2035,No
0,0,No
33,135,Yes
45,215,No
69,337,No
87,413,No
215,671,No
363,997,No
436,1319,No
472,1415,No
502,1505,No
517,1580,No
607,1712,No
677,1843,No
708,1904,No
728,1973,No
757,2040,No
775,2062,No
0,0,No
99,8771,Yes
176,8903,Yes
303,9020,Yes
370,9338,Yes
382,9418,No
406,9712,No
424,9796,No
552,10056,No
700,10598,No
773,10920,No
809,11016,No
839,11106,No
854,11181,No
944,11313,No
1014,11444,No
1045,11505,No
1065,11574,No
1094,11641,No
1112,11663,No
0,0,No
17,124,Yes
29,124,Yes
53,124,No
71,124,No
199,206,No
347,208,No
420,232,No
456,232,No
486,232,No
501,232,No
591,232,No
661,232,No
692,232,No
712,232,No
741,232,No
759,232,No
0,5,No
5,38,Yes
132,155,No
199,413,No
211,493,No
235,615,No
253,707,No
381,965,No
529,1291,No
602,1613,No
638,1709,No
668,1799,No
683,1874,No
773,2006,No
843,2137,No
874,2198,No
894,2267,No
923,2334,No
941,2356,No
0,11,No
5,47,Yes
132,164,No
199,422,No
211,502,No
235,624,No
253,700,No
381,958,No
529,1284,No
602,1606,No
638,1702,No
668,1792,No
683,1867,No
773,1999,No
843,2130,No
874,2191,No
894,2260,No
923,2327,No
941,2349,No
0,0,No
5,93,Yes
29,215,Yes
47,297,No
175,633,No
323,1386,No
396,1708,No
432,1804,No
462,1894,No
477,1969,No
567,2101,No
637,2232,No
668,2293,No
688,2362,No
717,2429,No
735,2451,No
0,2,No
6,23,Yes
133,23,No
200,49,No
212,49,No
236,49,No
254,49,No
382,125,No
530,125,No
603,125,No
639,125,No
669,125,No
684,125,No
774,125,No
844,125,No
875,125,No
895,125,No
924,125,No
942,125,No
0,18,No
4,58,Yes
131,175,No
198,451,No
210,536,No
234,663,No
252,790,No
380,1430,No
528,1988,No
601,2312,No
637,2408,No
667,2498,No
682,2573,No
772,2705,No
842,2836,No
873,2897,No
893,2966,No
922,3033,No
940,3055,No
0,9,No
3,26,Yes
130,143,Yes
197,403,No
209,483,No
233,605,No
251,695,No
379,1065,No
527,1396,No
600,1830,No
636,1926,No
666,2016,No
681,2091,No
771,2223,No
841,2354,No
872,2415,No
892,2484,No
921,2551,No
939,2573,No
0,0,No
1,33,Yes
25,155,Yes
43,231,No
171,489,No
319,815,No
392,1137,No
428,1233,No
458,1323,No
473,1398,No
563,1530,No
633,1661,No
664,1722,No
684,1791,No
713,1858,No
731,1880,No
0,67,No
60,574,Yes
187,734,Yes
254,1086,No
266,1166,No
290,1291,No
308,1369,No
436,1698,No
584,2030,No
657,2401,No
693,2497,No
723,2587,No
738,2662,No
828,2794,No
898,2925,No
929,2986,No
949,3055,No
978,3122,No
996,3144,No
0,0,No
1,37,Yes
25,159,Yes
43,235,No
171,493,No
319,819,No
392,1141,No
428,1237,No
458,1327,No
473,1402,No
563,1534,No
633,1665,No
664,1726,No
684,1795,No
713,1862,No
731,1884,No
0,4,No
3,21,Yes
130,138,No
197,396,No
209,476,No
233,598,No
251,674,No
379,932,No
527,1258,No
600,1580,No
636,1676,No
666,1766,No
681,1841,No
771,1973,No
841,2104,No
872,2165,No
892,2234,No
921,2301,No
939,2323,No
0,18,No
110,123,Yes
187,123,Yes
314,123,Yes
381,123,No
393,123,No
417,123,No
435,123,No
563,123,No
711,123,No
784,123,No
820,123,No
850,123,No
865,123,No
955,123,No
1025,123,No
1056,123,No
1076,123,No
1105,123,No
1123,123,No
0,0,No
4,62,Yes
22,138,No
150,689,No
298,1054,No
371,1376,No
407,1472,No
437,1562,No
452,1637,No
542,1769,No
612,1900,No
643,1961,No
663,2030,No
692,2097,No
710,2119,No
0,11,No
24,107,Yes
101,239,Yes
228,356,Yes
295,616,No
307,696,No
331,818,No
349,894,No
477,1234,No
625,1562,No
698,1908,No
734,2004,No
764,2094,No
779,2169,No
869,2301,No
939,2432,No
970,2493,No
990,2562,No
1019,2629,No
1037,2651,No
0,5,No
120,106,Yes
187,369,No
199,449,No
223,571,No
241,659,No
369,1123,No
517,2205,No
590,2527,No
626,2623,No
656,2713,No
671,2788,No
761,2920,No
831,3051,No
862,3112,No
882,3181,No
911,3248,No
929,3270,No
0,2,No
120,18,Yes
187,362,No
199,362,No
223,464,No
241,464,No
369,1907,No
517,2060,No
590,3322,No
626,3387,No
656,6182,No
671,6288,No
761,6782,No
831,7149,No
862,7231,No
882,7286,No
911,7423,No
929,7541,No
0,0,No
3,103,Yes
21,242,Yes
149,620,No
297,950,No
370,1272,No
406,1368,No
436,1458,No
451,1533,No
541,1665,No
611,1796,No
642,1857,No
662,1926,No
691,1993,No
709,2015,No
0,0,No
64,6,Yes
99,6,Yes
107,6,Yes
277,6,Yes
337,6,Yes
359,6,Yes
486,41,Yes
563,41,Yes
690,41,Yes
757,176,Yes
769,176,Yes
793,176,Yes
811,176,No
939,176,No
1087,176,No
1160,176,No
1196,176,No
1226,176,No
1241,176,No
1331,176,No
1401,176,No
1432,176,No
1452,176,No
1481,176,No
1499,176,No
0,6,No
115,8433,Yes
192,8565,Yes
319,8682,Yes
386,8940,No
398,9020,No
422,9142,No
440,9218,No
568,9476,No
716,9802,No
789,10124,No
825,10220,No
855,10310,No
870,10385,No
960,10517,No
1030,10648,No
1061,10709,No
1081,10778,No
1110,10845,No
1128,10867,No
0,199,No
44,482,Yes
171,605,No
238,1080,No
250,1160,No
274,1314,No
292,1390,No
420,1941,No
568,2306,No
641,2628,No
677,2724,No
707,2814,No
722,2889,No
812,3021,No
882,3152,No
913,3213,No
933,3282,No
962,3349,No
980,3371,No
0,0,No
39,130,Yes
166,247,Yes
233,524,No
245,604,No
269,726,No
287,808,No
415,1094,No
563,1437,No
636,1760,No
672,1856,No
702,1946,No
717,2021,No
807,2153,No
877,2284,No
908,2345,No
928,2414,No
957,2481,No
975,2503,No
0,5,No
30,105,Yes
157,295,No
224,978,No
236,1085,No
260,1271,No
278,1365,No
406,2025,No
554,2524,No
627,3026,No
663,3211,No
693,3688,No
708,3811,No
798,4051,No
868,4356,No
899,4512,No
919,4652,No
948,4808,No
966,4835,No
0,5,No
29,85,Yes
156,275,No
223,958,No
235,1065,No
259,1251,No
277,1345,No
405,2005,No
553,2504,No
626,3006,No
662,3191,No
692,3668,No
707,3791,No
797,4031,No
867,4336,No
898,4492,No
918,4632,No
947,4788,No
965,4815,No
0,0,No
13,226,Yes
31,314,No
159,634,No
307,960,No
380,1282,No
416,1378,No
446,1468,No
461,1543,No
551,1675,No
621,1806,No
652,1867,No
672,1936,No
701,2003,No
719,2025,No
0,13,No
22,87,Yes
149,204,No
216,546,No
228,626,No
252,808,No
270,884,No
398,1167,No
546,1493,No
619,1815,No
655,1911,No
685,2001,No
700,2076,No
790,2208,No
860,2339,No
891,2400,No
911,2469,No
940,2536,No
958,2558,No
0,0,No
37,27,Yes
164,27,No
231,727,No
243,727,No
267,727,No
285,727,No
413,753,No
561,753,No
634,753,No
670,753,No
700,753,No
715,753,No
805,753,No
875,753,No
906,753,No
926,753,No
955,753,No
973,753,No
0,0,No
12,73,Yes
30,149,Yes
158,443,Yes
306,813,No
379,1137,No
415,1233,No
445,1323,No
460,1398,No
550,1530,No
620,1661,No
651,1722,No
671,1791,No
700,1858,No
718,1880,No
0,0,No
12,68,Yes
30,144,No
158,402,No
306,728,No
379,1050,No
415,1146,No
445,1236,No
460,1311,No
550,1443,No
620,1574,No
651,1635,No
671,1704,No
700,1771,No
718,1793,No
0,0,No
12,68,Yes
30,144,No
158,402,No
306,728,No
379,1050,No
415,1146,No
445,1236,No
460,1311,No
550,1443,No
620,1574,No
651,1635,No
671,1704,No
700,1771,No
718,1793,No
0,21,No
17,85,Yes
144,202,Yes
211,462,Yes
223,542,No
247,664,No
265,742,No
393,1004,No
541,1330,No
614,1652,No
650,1748,No
680,1838,No
695,1913,No
785,2045,No
855,2176,No
886,2237,No
906,2306,No
935,2373,No
953,2395,No
0,0,No
10,60,Yes
28,136,No
156,394,No
304,720,No
377,1042,No
413,1138,No
443,1228,No
458,1303,No
548,1435,No
618,1566,No
649,1627,No
669,1696,No
698,1763,No
716,1785,No
0,0,No
6,75,Yes
30,197,Yes
48,273,No
176,531,No
324,857,No
397,1179,No
433,1275,No
463,1365,No
478,1440,No
568,1572,No
638,1703,No
669,1764,No
689,1833,No
718,1900,No
736,1922,No
0,0,No
40,196,Yes
62,382,Yes
189,8833,Yes
266,8965,Yes
393,9082,No
460,9340,No
472,9420,No
496,9542,No
514,9618,No
642,9876,No
790,10202,No
863,10524,No
899,10620,No
929,10710,No
944,10785,No
1034,10917,No
1104,11048,No
1135,11109,No
1155,11178,No
1184,11245,No
1202,11267,No
0,0,No
40,338,Yes
62,524,Yes
189,9216,No
266,9348,No
393,9465,No
460,9723,No
472,9803,No
496,9925,No
514,10001,No
642,10259,No
790,10585,No
863,10907,No
899,11003,No
929,11093,No
944,11168,No
1034,11300,No
1104,11431,No
1135,11492,No
1155,11561,No
1184,11628,No
1202,11650,No
0,0,No
40,7128,Yes
62,7356,No
189,22540,No
266,22672,No
393,22809,No
460,23411,No
472,23491,No
496,23715,No
514,23791,No
642,25492,No
790,25971,No
863,27555,No
899,27716,No
929,30601,No
944,30782,No
1034,31408,No
1104,31906,No
1135,32049,No
1155,32173,No
1184,32377,No
1202,32517,No
0,0,No
6,34,Yes
30,174,No
48,176,No
176,517,No
324,517,No
397,517,No
433,517,No
463,517,No
478,517,No
568,517,No
638,517,No
669,517,No
689,517,No
718,517,No
736,517,No
0,0,No
7,121,Yes
31,121,Yes
49,121,No
177,125,No
325,125,No
398,125,No
434,125,No
464,125,No
479,125,No
569,125,No
639,125,No
670,125,No
690,125,No
719,125,No
737,125,No
0,0,No
6,88,Yes
30,214,Yes
48,290,Yes
176,596,No
324,922,No
397,1425,No
433,1521,No
463,1611,No
478,1686,No
568,1818,No
638,1949,No
669,2010,No
689,2079,No
718,2146,No
736,2168,No
0,5,No
22,50,Yes
44,50,No
171,50,No
248,50,No
375,50,No
442,50,No
454,50,No
478,50,No
496,50,No
624,50,No
772,50,No
845,50,No
881,50,No
911,50,No
926,50,No
1016,50,No
1086,50,No
1117,50,No
1137,50,No
1166,50,No
1184,50,No
0,0,No
14,116,Yes
36,322,Yes
163,8811,Yes
240,8943,Yes
367,9060,No
434,9318,No
446,9398,No
470,9520,No
488,9596,No
616,9858,No
764,10190,No
837,10512,No
873,10608,No
903,10698,No
918,10773,No
1008,10905,No
1078,11036,No
1109,11097,No
1129,11166,No
1158,11233,No
1176,11255,No
0,0,No
21,0,Yes
56,0,Yes
64,0,Yes
234,0,Yes
294,0,Yes
316,0,Yes
443,0,Yes
520,0,Yes
647,0,No
714,0,No
726,0,No
750,0,No
768,0,No
896,0,No
1044,0,No
1117,0,No
1153,0,No
1183,0,No
1198,0,No
1288,0,No
1358,0,No
1389,0,No
1409,0,No
1438,0,No
1456,0,No
0,0,No
9,30,Yes
21,110,Yes
45,232,No
63,308,No
191,566,No
339,892,No
412,1214,No
448,1310,No
478,1400,No
493,1475,No
583,1607,No
653,1738,No
684,1799,No
704,1868,No
733,1935,No
751,1957,No
0,10,No
0,20,Yes
22,192,Yes
149,212,Yes
226,212,Yes
353,215,Yes
420,260,Yes
432,260,Yes
456,260,No
474,319,No
602,694,No
750,735,No
823,735,No
859,735,No
889,735,No
904,735,No
994,735,No
1064,735,No
1095,735,No
1115,735,No
1144,735,No
1162,735,No
0,0,No
21,185,Yes
33,292,No
57,478,No
75,572,No
203,1232,No
351,1731,No
424,2233,No
460,2418,No
490,2895,No
505,3018,No
595,3258,No
665,3563,No
696,3719,No
716,3859,No
745,4015,No
763,4042,No
0,0,No
123,2221,Yes
271,2773,No
344,3339,No
380,3435,No
410,3525,No
425,3600,No
515,3732,No
585,3863,No
616,3924,No
636,3993,No
665,4060,No
683,4082,No
0,0,No
1,8,Yes
149,271,No
222,271,No
258,271,No
288,271,No
303,271,No
393,271,No
463,271,No
494,271,No
514,271,No
543,271,No
561,271,No
0,0,No
8,83,Yes
32,269,No
50,363,No
178,1023,No
326,1522,No
399,2024,No
435,2209,No
465,2686,No
480,2809,No
570,3049,No
640,3354,No
671,3510,No
691,3650,No
720,3806,No
738,3833,No
0,0,No
13,108,Yes
35,294,Yes
162,8745,No
239,8877,No
366,8994,No
433,9252,No
445,9332,No
469,9454,No
487,9530,No
615,9788,No
763,10114,No
836,10436,No
872,10532,No
902,10622,No
917,10697,No
1007,10829,No
1077,10960,No
1108,11021,No
1128,11090,No
1157,11157,No
1175,11179,No
0,0,No
23,35,Yes
59,35,No
89,128,No
104,128,No
194,128,No
264,128,No
295,128,No
315,128,No
344,128,No
362,128,No
0,116,No
0,252,Yes
22,666,Yes
149,9664,No
226,9796,No
353,9913,No
420,10171,No
432,10251,No
456,10373,No
474,10449,No
602,10707,No
750,11033,No
823,11355,No
859,11451,No
889,11541,No
904,11616,No
994,11748,No
1064,11879,No
1095,11940,No
1115,12009,No
1144,12076,No
1162,12098,No
0,0,No
5,16,Yes
13,55,Yes
183,627,No
243,850,No
265,1036,No
392,9487,No
469,9619,No
596,9736,No
663,9994,No
675,10074,No
699,10196,No
717,10272,No
845,10530,No
993,10856,No
1066,11178,No
1102,11274,No
1132,11364,No
1147,11439,No
1237,11571,No
1307,11702,No
1338,11763,No
1358,11832,No
1387,11899,No
1405,11921,No
0,0,No
11,72,Yes
33,258,Yes
160,8709,No
237,8841,No
364,8958,No
431,9216,No
443,9296,No
467,9418,No
485,9494,No
613,9752,No
761,10078,No
834,10400,No
870,10496,No
900,10586,No
915,10661,No
1005,10793,No
1075,10924,No
1106,10985,No
1126,11054,No
1155,11121,No
1173,11143,No
0,2,No
2,58,Yes
24,58,Yes
151,58,No
228,58,No
355,58,No
422,58,No
434,58,No
458,58,No
476,58,No
604,58,No
752,58,No
825,58,No
861,58,No
891,58,No
906,58,No
996,58,No
1066,58,No
1097,58,No
1117,58,No
1146,58,No
1164,58,No
0,0,No
40,365,Yes
62,942,Yes
189,1076,Yes
266,1076,Yes
393,1076,Yes
460,1279,Yes
472,1279,Yes
496,1279,Yes
514,1307,Yes
642,2043,Yes
790,2043,Yes
863,2043,No
899,2043,No
929,2043,No
944,2043,No
1034,2043,No
1104,2043,No
1135,2043,No
1155,2043,No
1184,2043,No
1202,2043,No
0,137,No
14,717,Yes
141,9335,No
218,9482,No
345,9644,No
412,9999,No
424,10081,No
448,10220,No
466,10315,No
594,10689,No
742,11058,No
815,11633,No
851,11762,No
881,11852,No
896,12034,No
986,12166,No
1056,12414,No
1087,12475,No
1107,12544,No
1136,12611,No
1154,12633,No
0,12,No
0,24,Yes
22,213,Yes
149,8676,No
226,8808,No
353,8925,No
420,9183,No
432,9263,No
456,9387,No
474,9463,No
602,9757,No
750,10127,No
823,10451,No
859,10547,No
889,10637,No
904,10712,No
994,10844,No
1064,10975,No
1095,11036,No
1115,11105,No
1144,11172,No
1162,11194,No
0,7,No
0,83,Yes
22,159,Yes
149,226,No
226,226,No
353,226,No
420,276,No
432,276,No
456,421,No
474,421,No
602,421,No
750,421,No
823,421,No
859,421,No
889,421,No
904,421,No
994,421,No
1064,421,No
1095,421,No
1115,421,No
1144,421,No
1162,421,No
0,5,No
146,522,Yes
206,848,No
228,1086,No
355,15033,No
432,15230,No
559,15420,No
626,16103,No
638,16210,No
662,16396,No
680,16490,No
808,17150,No
956,17649,No
1029,18151,No
1065,18336,No
1095,18813,No
1110,18936,No
1200,19176,No
1270,19481,No
1301,19637,No
1321,19777,No
1350,19933,No
1368,19960,No
0,0,No
12,7,Yes
24,7,Yes
48,7,Yes
66,7,Yes
194,1094,Yes
342,1094,No
415,1226,No
451,1226,No
481,1226,No
496,1226,No
586,1226,No
656,1226,No
687,1226,No
707,1226,No
736,1226,No
754,1226,No
0,0,No
38,205,Yes
50,285,Yes
74,407,No
92,483,No
220,741,No
368,1067,No
441,1389,No
477,1485,No
507,1575,No
522,1650,No
612,1782,No
682,1913,No
713,1974,No
733,2043,No
762,2110,No
780,2132,No
0,0,No
40,196,Yes
62,382,No
189,8833,No
266,8965,No
393,9082,No
460,9340,No
472,9420,No
496,9542,No
514,9618,No
642,9876,No
790,10202,No
863,10524,No
899,10620,No
929,10710,No
944,10785,No
1034,10917,No
1104,11048,No
1135,11109,No
1155,11178,No
1184,11245,No
1202,11267,No
0,0,No
49,288,Yes
71,474,Yes
198,8955,No
275,9087,No
402,9204,No
469,9462,No
481,9548,No
505,9670,No
523,9746,No
651,10010,No
799,10342,No
872,10664,No
908,10760,No
938,10850,No
953,10925,No
1043,11057,No
1113,11188,No
1144,11249,No
1164,11318,No
1193,11385,No
1211,11407,No
0,0,No
40,1914,Yes
62,2390,Yes
189,11680,No
266,11836,No
393,11953,No
460,12247,No
472,12332,No
496,12489,No
514,12587,No
642,13178,No
790,13659,No
863,13981,No
899,14077,No
929,14167,No
944,14242,No
1034,14374,No
1104,14505,No
1135,14566,No
1155,14635,No
1184,14702,No
1202,14724,No
0,0,No
125,542,Yes
273,912,No
346,1236,No
382,1332,No
412,1422,No
427,1497,No
517,1629,No
587,1760,No
618,1821,No
638,1890,No
667,1957,No
685,1979,No
0,0,No
90,97,Yes
150,335,Yes
172,335,No
299,335,No
376,335,No
503,335,No
570,335,No
582,335,No
606,335,No
624,335,No
752,335,No
900,335,No
973,335,No
1009,335,No
1039,335,No
1054,335,No
1144,335,No
1214,335,No
1245,335,No
1265,335,No
1294,335,No
1312,335,No
0,3,No
117,336,Yes
177,559,No
199,745,No
326,9196,No
403,9328,No
530,9445,No
597,9703,No
609,9783,No
633,9905,No
651,9981,No
779,10239,No
927,10565,No
1000,10887,No
1036,10983,No
1066,11073,No
1081,11148,No
1171,11280,No
1241,11411,No
1272,11472,No
1292,11541,No
1321,11608,No
1339,11630,No
0,5,No
105,8414,Yes
182,8546,No
309,8663,No
376,8924,No
388,9004,No
412,9126,No
430,9202,No
558,9460,No
706,9786,No
779,10108,No
815,10204,No
845,10294,No
860,10369,No
950,10501,No
1020,10632,No
1051,10693,No
1071,10762,No
1100,10829,No
1118,10851,No
0,0,No
18,49,Yes
30,49,Yes
54,303,Yes
72,303,Yes
200,328,Yes
348,328,Yes
421,328,No
457,328,No
487,328,No
502,328,No
592,328,No
662,328,No
693,328,No
713,328,No
742,328,No
760,328,No
0,15,No
119,8477,Yes
196,8833,Yes
323,8952,Yes
390,9295,No
402,9375,No
426,9500,No
444,9578,No
572,9874,No
720,10204,No
793,10575,No
829,10671,No
859,10761,No
874,10836,No
964,10968,No
1034,11099,No
1065,11160,No
1085,11229,No
1114,11296,No
1132,11318,No
0,5,No
102,13861,Yes
179,14058,No
306,14248,No
373,14931,No
385,15038,No
409,15224,No
427,15318,No
555,15978,No
703,16477,No
776,16979,No
812,17164,No
842,17641,No
857,17764,No
947,18004,No
1017,18309,No
1048,18465,No
1068,18605,No
1097,18761,No
1115,18788,No
0,3,No
112,315,Yes
172,538,No
194,724,No
321,9175,No
398,9307,No
525,9424,No
592,9682,No
604,9762,No
628,9884,No
646,9960,No
774,10218,No
922,10544,No
995,10866,No
1031,10962,No
1061,11052,No
1076,11127,No
1166,11259,No
1236,11390,No
1267,11451,No
1287,11520,No
1316,11587,No
1334,11609,No
0,71,No
14,213,Yes
141,226,No
218,226,No
345,228,No
412,263,No
424,263,No
448,263,No
466,263,No
594,287,No
742,287,No
815,287,No
851,287,No
881,287,No
896,287,No
986,287,No
1056,287,No
1087,287,No
1107,287,No
1136,287,No
1154,287,No
0,261,No
8,1410,Yes
135,9980,No
212,10112,No
339,10229,No
406,10487,No
418,10567,No
442,10689,No
460,10778,No
588,11036,No
736,11362,No
809,11684,No
845,11780,No
875,11870,No
890,11945,No
980,12077,No
1050,12208,No
1081,12269,No
1101,12338,No
1130,12405,No
1148,12427,No
0,43,No
137,165,Yes
197,165,No
219,165,No
346,180,No
423,180,No
550,180,No
617,180,No
629,180,No
653,180,No
671,180,No
799,320,No
947,320,No
1020,320,No
1056,320,No
1086,320,No
1101,320,No
1191,320,No
1261,320,No
1292,320,No
1312,320,No
1341,320,No
1359,320,No
0,0,No
119,861,Yes
267,861,Yes
340,861,Yes
376,861,No
406,861,No
421,861,No
511,861,No
581,861,No
612,861,No
632,861,No
661,861,No
679,861,No
0,65,No
23,190,Yes
35,270,Yes
59,392,Yes
77,508,Yes
205,789,Yes
353,1162,Yes
426,1777,No
462,1873,No
492,1963,No
507,2038,No
597,2170,No
667,2301,No
698,2362,No
718,2431,No
747,2498,No
765,2520,No
0,9,No
14,130,Yes
141,8581,No
218,8713,No
345,8830,No
412,9088,No
424,9168,No
448,9290,No
466,9366,No
594,9624,No
742,9950,No
815,10272,No
851,10368,No
881,10458,No
896,10533,No
986,10665,No
1056,10796,No
1087,10857,No
1107,10926,No
1136,10993,No
1154,11015,No
0,7,No
126,71,Yes
203,71,No
330,71,No
397,71,No
409,71,No
433,71,No
451,71,No
579,71,No
727,71,No
800,71,No
836,71,No
866,71,No
881,71,No
971,71,No
1041,71,No
1072,71,No
1092,71,No
1121,71,No
1139,71,No
0,273,No
132,1608,Yes
192,1837,No
214,2116,No
341,11443,No
418,11575,No
545,11694,No
612,11959,No
624,12039,No
648,12161,No
666,12237,No
794,12643,No
942,12969,No
1015,13291,No
1051,13387,No
1081,13477,No
1096,13552,No
1186,13684,No
1256,13815,No
1287,13876,No
1307,13945,No
1336,14012,No
1354,14034,No
0,0,No
64,5,Yes
99,5,Yes
107,5,Yes
277,5,Yes
337,5,Yes
359,5,Yes
486,5,Yes
563,5,Yes
690,5,Yes
757,5,Yes
769,5,Yes
793,5,Yes
811,5,Yes
939,5,Yes
1087,5,Yes
1160,5,Yes
1196,5,Yes
1226,5,Yes
1241,5,Yes
1331,5,Yes
1401,5,Yes
1432,5,No
1452,5,No
1481,5,No
1499,5,No
0,2,No
130,23,Yes
190,31,No
212,173,No
339,186,No
416,186,No
543,188,No
610,223,No
622,223,No
646,223,No
664,223,No
792,247,No
940,247,No
1013,247,No
1049,247,No
1079,247,No
1094,247,No
1184,247,No
1254,247,No
1285,247,No
1305,247,No
1334,247,No
1352,247,No
0,0,No
128,423,Yes
188,722,No
210,908,No
337,9359,No
414,9491,No
541,9608,No
608,9866,No
620,9946,No
644,10068,No
662,10144,No
790,10402,No
938,10728,No
1011,11050,No
1047,11146,No
1077,11236,No
1092,11311,No
1182,11443,No
1252,11574,No
1283,11635,No
1303,11704,No
1332,11771,No
1350,11793,No
