Bug ID,Version Index,Version Name,Days from Version to Ticket Creation,LOC touched from Version to Ticket Creation,Bugginess
QPIDJMS-41,13,0.20.0,636,3943,Yes
QPIDJMS-41,12,0.11.1,744,4802,Yes
QPIDJMS-41,11,0.11.0,769,5768,Yes
QPIDJMS-41,10,0.10.0,839,5788,Yes
QPIDJMS-41,9,0.9.0,919,6088,Yes
QPIDJMS-41,8,0.8.0,971,6504,Yes
QPIDJMS-41,7,0.7.0,1031,6504,Yes
QPIDJMS-41,6,0.6.0,1101,6864,Yes
QPIDJMS-41,5,0.5.0,1143,8319,Yes
QPIDJMS-41,4,0.4.0,1155,9028,Yes
QPIDJMS-41,3,0.3.0,1221,9031,Yes
QPIDJMS-41,2,0.2.0,1250,9138,Yes
QPIDJMS-41,1,0.1.0,1308,9233,Yes
QPIDJMS-40,29,0.36.0,0,0,No
QPIDJMS-40,28,0.35.0,22,20,Yes
QPIDJMS-40,27,0.34.0,47,20,Yes
QPIDJMS-40,26,0.33.0,61,20,Yes
QPIDJMS-40,25,0.32.0,103,20,Yes
QPIDJMS-40,24,0.31.0,141,57,Yes
QPIDJMS-40,23,0.30.0,166,57,Yes
QPIDJMS-40,22,0.29.0,204,57,Yes
QPIDJMS-40,21,0.28.0,243,57,Yes
QPIDJMS-40,20,0.27.0,282,57,Yes
QPIDJMS-40,19,0.26.0,312,57,Yes
QPIDJMS-40,18,0.25.0,327,57,Yes
QPIDJMS-40,17,0.24.0,371,57,Yes
QPIDJMS-40,16,0.23.0,456,57,Yes
QPIDJMS-40,15,0.22.0,481,57,Yes
QPIDJMS-40,14,0.21.0,518,57,Yes
QPIDJMS-40,13,0.20.0,572,57,Yes
QPIDJMS-40,12,0.11.1,680,298,Yes
QPIDJMS-40,11,0.11.0,705,298,Yes
QPIDJMS-40,10,0.10.0,775,298,Yes
QPIDJMS-40,9,0.9.0,855,298,Yes
QPIDJMS-40,8,0.8.0,907,298,Yes
QPIDJMS-40,7,0.7.0,967,298,Yes
QPIDJMS-40,6,0.6.0,1037,298,Yes
QPIDJMS-40,5,0.5.0,1079,298,Yes
QPIDJMS-40,4,0.4.0,1091,298,Yes
QPIDJMS-40,3,0.3.0,1157,298,Yes
QPIDJMS-40,2,0.2.0,1186,298,Yes
QPIDJMS-40,1,0.1.0,1244,298,Yes
QPIDJMS-49,3,0.3.0,0,0,No
QPIDJMS-49,2,0.2.0,4,119,Yes
QPIDJMS-49,1,0.1.0,62,119,Yes
QPIDJMS-48,3,0.3.0,0,0,No
QPIDJMS-48,2,0.2.0,24,6,Yes
QPIDJMS-48,1,0.1.0,82,45,Yes
QPIDJMS-107,6,0.6.0,0,0,No
QPIDJMS-107,5,0.5.0,10,424,Yes
QPIDJMS-107,4,0.4.0,22,829,No
QPIDJMS-107,3,0.3.0,88,1444,No
QPIDJMS-107,2,0.2.0,117,1617,No
QPIDJMS-107,1,0.1.0,175,1903,No
QPIDJMS-108,6,0.6.0,0,0,No
QPIDJMS-108,5,0.5.0,11,459,Yes
QPIDJMS-108,4,0.4.0,23,663,No
QPIDJMS-108,3,0.3.0,89,860,No
QPIDJMS-108,2,0.2.0,118,963,No
