Bug ID,Version Index,Version Name,Days from Version to FV,LOC touched from Version to FV,Bugginess
TINKERPOP-1731,5,3.1.1-incubating,592,257,No
TINKERPOP-1731,4,3.1.0-incubating,676,257,No
TINKERPOP-1731,3,3.0.2-incubating,704,257,No
TINKERPOP-1731,2,3.0.1-incubating,751,257,No
TINKERPOP-1731,1,3.0.0-incubating,799,257,No
TINKERPOP-1727,12,3.2.6,0,0,No
TINKERPOP-1727,11,3.1.7,37,183,Yes
TINKERPOP-1727,10,3.2.4,161,471,No
TINKERPOP-1727,9,3.2.3,275,1021,No
TINKERPOP-1727,8,3.2.2,316,1272,No
TINKERPOP-1727,7,3.2.1,366,1519,No
TINKERPOP-1727,6,3.1.2-incubating,467,1983,No
TINKERPOP-1727,5,3.1.1-incubating,527,2378,No
TINKERPOP-1727,4,3.1.0-incubating,611,3158,No
TINKERPOP-1727,3,3.0.2-incubating,639,3242,No
TINKERPOP-1727,2,3.0.1-incubating,686,3331,No
TINKERPOP-1727,1,3.0.0-incubating,734,3460,No
TINKERPOP-1848,13,3.3.1,0,0,No
TINKERPOP-1848,12,3.2.6,107,174,Yes
TINKERPOP-1848,11,3.1.7,177,300,No
TINKERPOP-1848,10,3.2.4,301,346,No
TINKERPOP-1848,9,3.2.3,415,730,No
TINKERPOP-1848,8,3.2.2,456,1829,No
TINKERPOP-1848,7,3.2.1,506,2003,No
TINKERPOP-1848,6,3.1.2-incubating,607,2003,No
TINKERPOP-1848,5,3.1.1-incubating,667,2003,No
TINKERPOP-1848,4,3.1.0-incubating,751,2003,No
TINKERPOP-1848,3,3.0.2-incubating,779,2003,No
TINKERPOP-1848,2,3.0.1-incubating,826,2003,No
TINKERPOP-1848,1,3.0.0-incubating,874,2003,No
TINKERPOP-1846,13,3.3.1,0,0,No
TINKERPOP-1846,12,3.2.6,105,478,Yes
TINKERPOP-1846,11,3.1.7,175,688,No
TINKERPOP-1846,10,3.2.4,299,964,No
TINKERPOP-1846,9,3.2.3,413,1344,No
TINKERPOP-1846,8,3.2.2,454,1595,No
TINKERPOP-1846,7,3.2.1,504,1866,No
TINKERPOP-1846,6,3.1.2-incubating,605,2406,No
TINKERPOP-1846,5,3.1.1-incubating,665,2642,No
TINKERPOP-1846,4,3.1.0-incubating,749,3379,No
TINKERPOP-1846,3,3.0.2-incubating,777,3436,No
TINKERPOP-1846,2,3.0.1-incubating,824,3525,No
TINKERPOP-1846,1,3.0.0-incubating,872,3667,No
TINKERPOP-1605,10,3.2.4,0,0,No
TINKERPOP-1605,9,3.2.3,96,61,Yes
TINKERPOP-1605,8,3.2.2,137,145,No
TINKERPOP-1605,7,3.2.1,187,742,No
TINKERPOP-1605,6,3.1.2-incubating,288,971,No
TINKERPOP-1605,5,3.1.1-incubating,348,1007,No
TINKERPOP-1605,4,3.1.0-incubating,432,1027,No
TINKERPOP-1605,3,3.0.2-incubating,460,1027,No
TINKERPOP-1605,2,3.0.1-incubating,507,1027,No
TINKERPOP-1605,1,3.0.0-incubating,555,1027,No
TINKERPOP-1847,13,3.3.1,0,0,No
TINKERPOP-1847,12,3.2.6,101,9,Yes
TINKERPOP-1847,11,3.1.7,171,31,No
TINKERPOP-1847,10,3.2.4,295,52,No
TINKERPOP-1847,9,3.2.3,409,64,No
TINKERPOP-1847,8,3.2.2,450,77,No
TINKERPOP-1847,7,3.2.1,500,97,No
TINKERPOP-1847,6,3.1.2-incubating,601,109,No
TINKERPOP-1847,5,3.1.1-incubating,661,111,No
TINKERPOP-1847,4,3.1.0-incubating,745,119,No
TINKERPOP-1847,3,3.0.2-incubating,773,121,No
TINKERPOP-1847,2,3.0.1-incubating,820,161,No
