Key,Name,URL,,,,,,,,,
IO,Commons IO,https://github.com/apache/commons-io.git,,,,,,,,,
JCS,Commons JCS,https://github.com/apache/commons-jcs.git,,,,,,,,,
LANG,Commons Lang,https://github.com/apache/commons-lang.git,,,,,,,,,
LOGGING,Commons Logging,https://github.com/apache/commons-logging.git,,,,,,,,,
MATH,Commons Math,https://github.com/apache/commons-math.git,,,,,,,,,
NET,Commons Net,https://github.com/apache/commons-net.git,,,,,,,,,
POOL,Commons Pool,https://github.com/apache/commons-pool.git,,,,,,,,,
VALIDATOR,Commons Validator,https://github.com/apache/commons-validator.git,,,,,,,,,
VFS,Commons VFS,https://github.com/apache/commons-vfs.git,,,,,,,,,
CONTINUUM,Continuum,https://github.com/apache/continuum.git,,,,,,,,,
COUCHDB,CouchDB,,,,,,,,,,
CRUNCH,Crunch,https://github.com/apache/crunch.git,,,,,,,,,
CXF,CXF,https://github.com/apache/cxf.git,https://github.com/apache/cxf-fediz.git,https://github.com/apache/cxf-xjc-utils.git,https://github.com/apache/cxf-build-utils.git,,,,,,
DOSGI,CXF Distributed OSGi,https://github.com/apache/cxf-dosgi.git,,,,,,,,,
DAFFODIL,Daffodil,https://github.com/apache/incubator-daffodil.git,https://github.com/apache/incubator-daffodil-site.git,,,,,,,,
DTACLOUD,DeltaCloud,https://github.com/apache/attic-deltacloud.git,,,,,,,,,
DELTASPIKE,DeltaSpike,https://github.com/apache/deltaspike.git,,,,,,,,,
DERBY,Derby,https://github.com/apache/derby.git,,,,,,,,,
DIRSERVER,Directory ApacheDS,https://github.com/apache/directory-server.git,,,,,,,,,
DIRAPI,Directory Client API,https://github.com/apache/directory-ldap-api.git,,,,,,,,,
DIRSTUDIO,Directory Studio,https://github.com/apache/directory-studio.git,,,,,,,,,
EAGLE,Eagle,https://github.com/apache/eagle.git,,,,,,,,,
FALCON,Falcon,https://github.com/apache/falcon.git,,,,,,,,,
FELIX,Felix,https://github.com/apache/felix.git,,,,,,,,,
FLINK,Flink,https://github.com/apache/flink.git,https://github.com/apache/bahir-flink.git,https://github.com/apache/flink-web.git,https://github.com/apache/flink-shaded.git,,,,,,
FLUME,Flume,https://github.com/apache/flume.git,,,,,,,,,
FOP,FOP,https://github.com/apache/fop.git,https://github.com/apache/fop-pdf-images.git,,,,,,,,
FOR,Forrest,https://github.com/apache/forrest.git,,,,,,,,,
FTPSERVER,FtpServer,https://github.com/apache/ftpserver.git,https://github.com/apache/mina-ftpserver.git,,,,,,,,
GEODE,Geode,https://github.com/apache/geode.git,https://github.com/apache/geode-examples.git,https://github.com/apache/geode-native.git,https://github.com/apache/geode-benchmarks.git,https://github.com/apache/geode-site.git,,,,,
GERONIMO,Geronimo,,,,,,,,,,
GERONIMODEVTOOLS,Geronimo-Devtools,https://github.com/apache/geronimo-devtools.git,,,,,,,,,
GROOVY,Groovy,https://github.com/apache/groovy.git,,,,,,,,,
HADOOP,Hadoop Common,https://github.com/apache/hadoop-common.git,,,,,,,,,
HDFS,Hadoop HDFS,https://github.com/apache/hadoop-hdfs.git,,,,,,,,,
MAPREDUCE,Hadoop Map/Reduce,https://github.com/apache/hadoop-mapreduce.git,,,,,,,,,
YARN,Hadoop YARN,,,,,,,,,,
HARMONY,Harmony,https://github.com/apache/harmony.git,https://github.com/apache/harmony-drlvm.git,https://github.com/apache/harmony-classlib.git,https://github.com/apache/harmony-jdktools.git,,,,,,
HBASE,HBase,https://github.com/apache/hbase.git,https://github.com/apache/hbase-operator-tools.git,https://github.com/apache/hbase-connectors.git,https://github.com/apache/hbase-thirdparty.git,https://github.com/apache/hbase-site.git,,,,,
HCATALOG,HCatalog,https://github.com/apache/hcatalog.git,,,,,,,,,
HIVE,Hive,https://github.com/apache/hive.git,,,,,,,,,
HTTPCLIENT,HttpComponents HttpClient,https://github.com/apache/httpcomponents-client.git,,,,,,,,,
HTTPCORE,HttpComponents HttpCore,https://github.com/apache/httpcomponents-core.git,,,,,,,,,
IBATISNET,iBatis for .NET,,,,,,,,,,
IBATIS,iBatis for Java [READ ONLY],,,,,,,,,,
IGNITE,Ignite,https://github.com/apache/ignite.git,https://github.com/apache/ignite-teamcity-bot.git,https://github.com/apache/ignite-release.git,,,,,,,
IMPALA,IMPALA,https://github.com/apache/impala.git,,,,,,,,,
INFRA,Infrastructure,,,,,,,,,,
ISIS,Isis,https://github.com/apache/isis.git,https://github.com/apache/isis-site.git,,,,,,,,
IVY,Ivy,https://github.com/apache/ant-ivy.git,https://github.com/apache/ant-ivyde.git,,,,,,,,
JCR,Jackrabbit Content Repository,https://github.com/apache/jackrabbit.git,,,,,,,,,
