Key,Name,URL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASTERIXDB,Apache AsterixDB,https://github.com/apache/asterixdb.git,https://github.com/apache/asterixdb-hyracks.git,https://github.com/apache/asterixdb-site.git,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVRO,Apache Avro,https://github.com/apache/avro.git,https://github.com/apache/sling-org-apache-sling-distribution-avro-serializer.git,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AWF,Apache AWF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLUR,Apache Blur,https://github.com/apache/incubator-retired-blur.git,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CB,Apache Cordova,https://github.com/apache/cordova-android.git,https://github.com/apache/cordova-plugin-inappbrowser.git,https://github.com/apache/cordova-ios.git,https://github.com/apache/cordova-plugin-camera.git,https://github.com/apache/cordova-js.git,https://github.com/apache/cordova-plugin-statusbar.git,https://github.com/apache/cordova-plugin-geolocation.git,https://github.com/apache/cordova-plugin-file.git,https://github.com/apache/cordova-plugin-splashscreen.git,https://github.com/apache/cordova-plugin-media.git,https://github.com/apache/cordova-docs.git,https://github.com/apache/cordova-cli.git,https://github.com/apache/cordova-lib.git,https://github.com/apache/cordova-plugins.git,https://github.com/apache/cordova-plugin-file-transfer.git,https://github.com/apache/cordova-plugin-device.git,https://github.com/apache/cordova-plugin-dialogs.git,https://github.com/apache/cordova-plugin-contacts.git,https://github.com/apache/cordova-plugin-whitelist.git,https://github.com/apache/cordova-plugin-wkwebview-engine.git,https://github.com/apache/cordova-plugin-network-information.git,https://github.com/apache/cordova-plugman.git,https://github.com/apache/cordova-plugin-media-capture.git,https://github.com/apache/cordova-windows.git,https://github.com/apache/cordova-app-hello-world.git,https://github.com/apache/cordova-weinre.git,https://github.com/apache/cordova-browser.git,https://github.com/apache/cordova-osx.git,https://github.com/apache/cordova-plugin-globalization.git,https://github.com/apache/cordova-plugin-console.git,https://github.com/apache/cordova-plugin-vibration.git,https://github.com/apache/cordova-wp8.git,https://github.com/apache/cordova-mobile-spec.git,https://github.com/apache/cordova.git,https://github.com/apache/cordova-plugin-battery-status.git,https://github.com/apache/cordova-node-xcode.git,https://github.com/apache/cordova-plugin-device-motion.git,https://github.com/apache/cordova-labs.git,https://github.com/apache/cordova-plugin-test-framework.git,https://github.com/apache/cordova-app-harness.git,https://github.com/apache/cordova-ubuntu.git,https://github.com/apache/cordova-blackberry.git,https://github.com/apache/cordova-plugin-device-orientation.git,https://github.com/apache/cordova-coho.git,https://github.com/apache/cordova-plugin-compat.git,https://github.com/apache/cordova-firefoxos.git,https://github.com/apache/cordova-amazon-fireos.git,https://github.com/apache/cordova-qt.git,https://github.com/apache/cordova-common.git,https://github.com/apache/cordova-tizen.git,https://github.com/apache/cordova-paramedic.git,https://github.com/apache/cordova-medic.git,https://github.com/apache/cordova-webos.git,https://github.com/apache/cordova-fetch.git,https://github.com/apache/cordova-registry-web.git,https://github.com/apache/cordova-electron.git,https://github.com/apache/cordova-wp7.git,https://github.com/apache/cordova-serve.git,https://github.com/apache/cordova-apache-board-reports.git,https://github.com/apache/cordova-create.git,https://github.com/apache/cordova-registry.git,https://github.com/apache/cordova-template-reference.git,https://github.com/apache/cordova-plugin-legacy-whitelist.git,https://github.com/apache/cordova-bada.git,https://github.com/apache/cordova-test-platform.git,https://github.com/apache/cordova-status.git,https://github.com/apache/cordova-bada-wac.git,https://github.com/apache/cordova-contribute.git,https://github.com/apache/cordova-new-committer-and-pmc.git,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DLAB,Apache DLab,https://github.com/apache/incubator-dlab.git,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRILL,Apache Drill,https://github.com/apache/drill.git,https://github.com/apache/drill-site.git,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FINERACT,Apache Fineract,https://github.com/apache/fineract.git,https://github.com/apache/fineract-cn-teller.git,https://github.com/apache/fineract-cn-fims-web-app.git,https://github.com/apache/fineract-cn-demo-server.git,https://github.com/apache/fineract-cn-customer.git,https://github.com/apache/fineract-cn-portfolio.git,https://github.com/apache/fineract-cn-provisioner.git,https://github.com/apache/fineract-cn-deposit-account-management.git,https://github.com/apache/fineract-site.git,https://github.com/apache/fineract-cn-identity.git,https://github.com/apache/fineract-cn-notifications.git,https://github.com/apache/fineract-cn-payroll.git,https://github.com/apache/fineract-cn-reporting.git,https://github.com/apache/fineract-cn-accounting.git,https://github.com/apache/fineract-cn-office.git,https://github.com/apache/fineract-cn-test.git,https://github.com/apache/fineract-cn-rhythm.git,https://github.com/apache/fineract-cn-api.git,https://github.com/apache/fineract-cn-cassandra.git,https://github.com/apache/fineract-cn-service-starter.git,https://github.com/apache/fineract-cn-permitted-feign-client.git,https://github.com/apache/fineract-cn-command.git,https://github.com/apache/fineract-cn-mariadb.git,https://github.com/apache/fineract-cn-group.git,https://github.com/apache/fineract-cn-cheques.git,https://github.com/apache/fineract-cn-lang.git,https://github.com/apache/fineract-cn-fims-e2e.git,https://github.com/apache/fineract-cn-crypto.git,https://github.com/apache/fineract-cn-async.git,https://github.com/apache/fineract-cn-data-jpa.git,https://github.com/apache/fineract-cn-default-setup.git,https://github.com/apache/fineract-cn-anubis.git,https://github.com/apache/fineract-cn-template.git,https://github.com/apache/fineract-cn-stellar-bridge.git,https://github.com/apache/fineract-cn-integration-tests.git,https://github.com/apache/fineract-cn-docker-scripts.git,https://github.com/apache/fineract-cn-postgresql.git,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLEX,Apache Flex,https://github.com/apache/flex-sdk.git,https://github.com/apache/flex-utilities.git,https://github.com/apache/flex-blazeds.git,https://github.com/apache/flex-tlf.git,https://github.com/apache/flex-flexunit.git,https://github.com/apache/flex-examples.git,https://github.com/apache/flex-site.git,https://github.com/apache/flex-whiteboard.git,https://github.com/apache/flex-site-ng.git,https://github.com/apache/flex-radii8.git,https://github.com/apache/flex-asjs.git,https://github.com/apache/flex-falcon.git,https://github.com/apache/flex-external.git,https://github.com/apache/flex-typedefs.git,https://github.com/apache/flex-tourjs.git,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAWQ,Apache HAWQ,https://github.com/apache/hawq.git,https://github.com/apache/hawq-site.git,https://github.com/apache/hawq-docs.git,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
