Key,Ticket Creation Date,Resolved Date,Recorded AV,Assumed AV,Recorded AV with Missing Dates
FOP-1308,1,3,|,|1|2|3|,|trunk|
FOP-796,1,3,|,|1|2|3|,|trunk|
FOP-1509,1,3,|,|1|2|3|,|trunk|
FOP-1189,1,3,|,|1|2|3|,|0.92|
FOP-1177,1,3,|,|1|2|3|,|trunk|
FOP-1105,1,3,|,|1|2|3|,|trunk|
FOP-871,1,3,|,|1|2|3|,|trunk|
FOP-1020,1,3,|,|1|2|3|,|trunk|
FOP-361,1,3,|,|1|2|3|,|0.20.3|
FOP-429,1,3,|,|1|2|3|,|0.20.4|
FOP-21,1,3,|,|1|2|3|,|0.16|
FOP-888,1,3,|,|1|2|3|,|trunk|
FOP-829,1,3,|,|1|2|3|,|trunk|
FOP-193,1,3,|,|1|2|3|,|trunk|
FOP-969,1,3,|,|1|2|3|,|0.20.5|
FOP-276,1,3,|,|1|2|3|,|0.20.3|
FOP-1456,1,3,|,|1|2|3|,|0.94|
FOP-665,1,3,|,|1|2|3|,|trunk|
FOP-205,1,3,|,|1|2|3|,|0.15|
FOP-697,1,3,|,|1|2|3|,|0.20.5|
FOP-995,1,3,|,|1|2|3|,|trunk|
FOP-1486,1,3,|,|1|2|3|,|trunk|
FOP-1047,1,3,|,|1|2|3|,|trunk|
FOP-863,1,3,|,|1|2|3|,|trunk|
FOP-811,1,3,|,|1|2|3|,|trunk|
FOP-192,1,3,|,|1|2|3|,|0.15|
FOP-1053,1,3,|,|1|2|3|,|trunk|
FOP-662,1,3,|,|1|2|3|,|trunk|
FOP-155,1,3,|,|1|2|3|,|0.17|
FOP-769,1,3,|,|1|2|3|,|trunk|
FOP-798,1,3,|,|1|2|3|,|trunk|
FOP-800,1,3,|,|1|2|3|,|0.20.4|
FOP-513,1,3,|,|1|2|3|,|0.20.4|
FOP-828,1,3,|,|1|2|3|,|trunk|
FOP-1051,1,3,|,|1|2|3|,|trunk|
FOP-1417,1,3,|,|1|2|3|,|trunk|
FOP-631,1,3,|,|1|2|3|,|0.20.5|
FOP-62,1,3,|,|1|2|3|,|trunk|
FOP-1377,1,3,|,|1|2|3|,|0.93|
FOP-1813,2,3,|1|,|1|2|3|,|
FOP-722,1,3,|,|1|2|3|,|trunk|
FOP-521,1,3,|,|1|2|3|,|0.20.4|
FOP-40,1,3,|,|1|2|3|,|trunk|
FOP-1248,1,3,|,|1|2|3|,|0.92|
FOP-1387,1,3,|,|1|2|3|,|trunk|
FOP-748,1,3,|,|1|2|3|,|trunk|
FOP-734,1,3,|,|1|2|3|,|trunk|
FOP-1386,1,3,|,|1|2|3|,|0.93|
