Project,Total Releases,Number Without Release Dates,,Percent Without Dates,Names of Releases Without Dates,List of Releases That Follow Missing Date Releases
JELLY,13,13,1.0,|1.1|1.0.1|jface-1.0-beta-1|jface-1.0|swt-1.0|1.0-beta-4|1.0-beta-5|1.0-RC1|1.0-RC2|1.0|1.1-beta-1|1.1.1|Review Patch|,|1|1|1|1|1|1|1|1|1|1|1|1|1|
JEXL,13,4,0.3076923076923077,|2|2.1.2|3.2|Later|,|4|8|10|10|
JXPATH,7,3,0.42857142857142855,|1.4|post-1.4|Nightly Builds|,|5|5|5|
LANG,31,8,0.25806451612903225,|2.7|Known Issue|Patch Needed|Review Patch|Discussion|4.0|3.x|3.9|,|22|22|22|22|22|22|22|23|
LAUNCHER,4,2,0.5,|Nightly Builds|1.2|,|1|1|
LOGGING,13,3,0.23076923076923078,|Nightly Builds|1.2.1|2.0|,|1|11|11|
MATH,19,3,0.15789473684210525,|4.0|3.7|4.X|,|14|17|17|
MODELER,5,1,0.2,|2.1|,|5|
NET,22,4,0.18181818181818182,|1.5|Nightly Builds|2.1|3.7|,|9|9|10|19|
NUMBERS,2,2,1.0,|1.0|1.1|,|1|1|
OGNL,15,12,0.8,|2.6.9|2.6.11|2.7|2.7.1|2.7.2|2.7.3|3.0|4.0|4.0.x|Future|3.1.2|3.1.4|,|1|1|1|1|1|1|1|4|4|4|4|4|
POOL,32,6,0.1875,|Nightly Builds|1.5.8|1.6.1|2.4.4|3.0|2.6.2|,|1|16|16|24|25|27|
PRIMITIVES,3,2,0.6666666666666666,|1.1|Nightly Builds|,|2|2|
PROXY,4,3,0.75,|1.1|2.0|2.x|,|2|2|2|
RESOURCES,2,2,1.0,|Nightly Builds|1.0|,|1|1|
RNG,4,1,0.25,|1.3|,|4|
SANDBOX,2,2,1.0,|Nightly Builds|ClassScan 0.2|,|1|1|
SANSELAN,5,3,0.6,|1.0|1.1|1.x|,|3|3|3|
SCXML,8,3,0.375,|GSoC|0.10|2.0|,|6|6|6|
TEXT,11,4,0.36363636363636365,|1.x|2.0|1.5|1.7|,|1|6|7|8|
TRANSACTION,7,3,0.42857142857142855,|1.3|2.0|2.1|,|5|5|5|
VALIDATOR,16,3,0.1875,|Nightly Builds|1.7|2.0|,|11|14|14|
VFS,9,4,0.4444444444444444,|later|Nightly Builds|3.0|2.4|,|2|2|5|5|
WEAVER,6,1,0.16666666666666666,|2.x|,|2|
COMDEV,0,0,NaN,|,|
CONTINUUM,35,5,0.14285714285714285,|1.0-alpha-2|1.0-alpha-3|1.5.0|1.4.3|1.5.1|,|2|2|31|31|31|
COR,1,1,1.0,|0.5|,|1|
COTTON,0,0,NaN,|,|
COUCHDB,40,9,0.225,|4.0.0|3.0.0|1.7.0|1.x.x|2.1|1.6.2|2.1.0|2.0.1|2.2|,|30|30|31|32|32|32|32|32|32|
CRUNCH,18,1,0.05555555555555555,|1.0.0|,|18|
CTAKES,11,1,0.09090909090909091,|4.0.1|,|11|
