Key,Ticket Creation Date,Resolved Date,Recorded AV,Assumed AV,Recorded AV with Missing Dates
XERCESJ-909,18,18,|17|,|17|18|,|
XERCESJ-553,12,18,|11|,|11|12|13|14|15|16|17|18|,|
XERCESJ-734,14,18,|13|,|13|14|15|16|17|18|,|
XERCESJ-856,16,18,|15|,|15|16|17|18|,|
XERCESJ-910,18,18,|17|,|17|18|,|
XERCESJ-918,18,18,|17|,|17|18|,|
XERCESJ-920,18,18,|17|,|17|18|,|
XERCESJ-927,18,18,|17|,|17|18|,|
XERCESJ-905,18,18,|17|,|17|18|,|
XERCESJ-901,18,18,|17|,|17|18|,|
XERCESJ-885,17,18,|16|,|16|17|18|,|
XERCESJ-931,18,18,|17|,|17|18|,|
XERCESJ-899,18,18,|17|,|17|18|,|
XERCESJ-917,18,18,|17|,|17|18|,|
XERCESJ-908,18,18,|17|,|17|18|,|
XERCESJ-914,18,18,|17|,|17|18|,|
XERCESJ-902,18,18,|17|,|17|18|,|
XERCESJ-80,5,18,|3|,|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|,|
XERCESJ-76,5,18,|3|,|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|,|
XERCESJ-111,6,18,|5|,|5|6|7|8|9|10|11|12|13|14|15|16|17|18|,|
XERCESJ-961,18,18,|17|,|17|18|,|
XERCESJ-925,18,18,|17|,|17|18|,|
XERCESJ-965,18,18,|17|,|17|18|,|
XERCESJ-922,18,18,|17|,|17|18|,|
XERCESJ-967,18,18,|17|,|17|18|,|
XERCESJ-980,18,18,|17|,|17|18|,|
XERCESJ-784,15,18,|14|,|14|15|16|17|18|,|
XERCESJ-251,8,18,|7|,|7|8|9|10|11|12|13|14|15|16|17|18|,|
XERCESJ-991,18,18,|17|,|17|18|,|
XERCESJ-994,18,18,|15|,|15|16|17|18|,|
XERCESJ-985,18,18,|17|,|17|18|,|
XERCESJ-999,18,18,|14|17|,|14|15|16|17|18|,|
XERCESJ-919,18,18,|17|,|17|18|,|
XERCESJ-1009,18,18,|17|,|17|18|,|
XERCESJ-1010,18,18,|17|,|17|18|,|
XERCESJ-929,18,18,|17|,|17|18|,|
XERCESJ-863,16,18,|15|,|15|16|17|18|,|
XERCESJ-1013,18,18,|17|,|17|18|,|
XERCESJ-1017,18,18,|17|,|17|18|,|
XERCESJ-1020,18,18,|16|,|16|17|18|,|
XERCESJ-1027,18,18,|17|,|17|18|,|
XERCESJ-619,13,18,|12|,|12|13|14|15|16|17|18|,|
XERCESJ-1028,18,18,|17|,|17|18|,|
XERCESJ-701,14,18,|13|,|13|14|15|16|17|18|,|
XERCESJ-1035,18,18,|17|,|17|18|,|
XERCESJ-1037,18,18,|17|,|17|18|,|
XERCESJ-1026,18,18,|17|,|17|18|,|
XERCESJ-1030,18,18,|17|,|17|18|,|
XERCESJ-1004,18,18,|17|,|17|18|,|
XERCESJ-1039,18,18,|17|,|17|18|,|
XERCESJ-1051,18,18,|17|,|17|18|,|
XERCESJ-1071,18,18,|17|,|17|18|,|
XERCESJ-865,16,18,|15|,|15|16|17|18|,|
XERCESJ-1078,18,19,|17|,|17|18|19|,|
XERCESJ-1099,20,20,|19|,|19|20|,|
XERCESJ-1097,20,20,|18|19|,|18|19|20|,|
XERCESJ-1115,20,20,|19|,|19|20|,|
XERCESJ-1172,21,21,|20|,|20|21|,|
XERCESJ-1164,21,21,|20|,|20|21|,|
XERCESJ-1154,21,21,|20|,|20|21|,|
XERCESJ-1145,21,21,|20|,|20|21|,|
XERCESJ-1155,21,21,|20|,|20|21|,|
XERCESJ-1196,22,22,|21|,|21|22|,|
XERCESJ-1206,22,22,|21|,|21|22|,|
XERCESJ-1207,22,22,|21|,|21|22|,|
XERCESJ-1209,22,22,|21|,|21|22|,|
XERCESJ-1202,22,22,|21|,|21|22|,|
XERCESJ-1203,22,22,|21|,|21|22|,|
XERCESJ-1156,21,23,|17|20|,|17|18|19|20|21|22|23|,|
XERCESJ-1079,18,23,|17|,|17|18|19|20|21|22|23|,|
XERCESJ-1254,23,23,|22|,|22|23|,|
XERCESJ-1258,23,23,|17|,|17|18|19|20|21|22|23|,|
XERCESJ-1262,23,23,|22|,|22|23|,|
XERCESJ-1263,23,23,|22|,|22|23|,|
XERCESJ-1295,24,24,|23|,|23|24|,|
XERCESJ-1302,24,24,|23|,|23|24|,|
XERCESJ-1379,24,24,|23|,|23|24|,|
XERCESJ-1385,24,24,|22|23|,|22|23|24|,|
XERCESJ-1416,24,24,|23|,|23|24|,|
XERCESJ-1418,24,24,|23|,|23|24|,|
XERCESJ-1466,25,25,|24|,|24|25|,|
XERCESJ-1473,25,25,|24|,|24|25|,|
XERCESJ-1532,26,26,|25|,|25|26|,|
XERCESJ-1609,26,26,|25|,|25|26|,|
XERCESJ-1618,26,26,|25|,|25|26|,|
XERCESJ-1612,26,26,|25|,|25|26|,|
XERCESJ-1696,27,27,|26|,|26|27|,|
XERCESJ-1697,27,27,|26|,|26|27|,|
