Key,Ticket Creation Date,Resolved Date,Recorded AV,Assumed AV,Recorded AV with Missing Dates
COCOON-431,10,23,|,|10|11|12|13|14|15|16|17|18|19|20|21|22|23|,|2.0.5-dev (Current CVS)|
COCOON-450,10,23,|9|,|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|,|
COCOON-449,10,23,|,|10|11|12|13|14|15|16|17|18|19|20|21|22|23|,|2.0.5-dev (Current CVS)|
COCOON-443,10,23,|9|,|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|,|
COCOON-441,10,23,|,|10|11|12|13|14|15|16|17|18|19|20|21|22|23|,|2.0.5-dev (Current CVS)|
COCOON-454,10,23,|,|10|11|12|13|14|15|16|17|18|19|20|21|22|23|,|2.0.5-dev (Current CVS)|
COCOON-453,10,23,|23|,|10|11|12|13|14|15|16|17|18|19|20|21|22|23|,|
COCOON-452,10,23,|,|10|11|12|13|14|15|16|17|18|19|20|21|22|23|,|2.0.5-dev (Current CVS)|
COCOON-460,10,23,|9|,|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|,|
COCOON-458,10,23,|,|10|11|12|13|14|15|16|17|18|19|20|21|22|23|,|2.0.5-dev (Current CVS)|
COCOON-457,10,23,|,|10|11|12|13|14|15|16|17|18|19|20|21|22|23|,|2.0.5-dev (Current CVS)|
COCOON-461,10,23,|,|10|11|12|13|14|15|16|17|18|19|20|21|22|23|,|2.0.5-dev (Current CVS)|
COCOON-469,10,23,|,|10|11|12|13|14|15|16|17|18|19|20|21|22|23|,|2.0.5-dev (Current CVS)|
COCOON-468,10,23,|,|10|11|12|13|14|15|16|17|18|19|20|21|22|23|,|2.0.5-dev (Current CVS)|
COCOON-467,10,23,|,|10|11|12|13|14|15|16|17|18|19|20|21|22|23|,|2.0.5-dev (Current CVS)|
COCOON-466,10,23,|9|,|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|,|
COCOON-464,10,23,|,|10|11|12|13|14|15|16|17|18|19|20|21|22|23|,|2.0.5-dev (Current CVS)|
COCOON-463,10,23,|,|10|11|12|13|14|15|16|17|18|19|20|21|22|23|,|2.0.5-dev (Current CVS)|
COCOON-462,10,23,|,|10|11|12|13|14|15|16|17|18|19|20|21|22|23|,|2.0.5-dev (Current CVS)|
COCOON-475,10,23,|6|,|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|,|
COCOON-473,10,23,|,|10|11|12|13|14|15|16|17|18|19|20|21|22|23|,|2.0.5-dev (Current CVS)|
COCOON-472,10,23,|,|10|11|12|13|14|15|16|17|18|19|20|21|22|23|,|2.0.5-dev (Current CVS)|
COCOON-471,10,23,|,|10|11|12|13|14|15|16|17|18|19|20|21|22|23|,|2.0.5-dev (Current CVS)|
COCOON-484,10,23,|,|10|11|12|13|14|15|16|17|18|19|20|21|22|23|,|2.0.5-dev (Current CVS)|
COCOON-477,10,23,|9|,|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|,|
COCOON-483,10,23,|,|10|11|12|13|14|15|16|17|18|19|20|21|22|23|,|2.0.5-dev (Current CVS)|
