Key,Ticket Creation Date,Resolved Date,Recorded AV,Assumed AV,Recorded AV with Missing Dates
STR-1512,2,7,|,|2|3|4|5|6|7|,|1.1 Beta 3|
STR-1517,2,7,|,|2|3|4|5|6|7|,|Future|
STR-1515,2,7,|,|2|3|4|5|6|7|,|Future|
STR-1516,2,7,|,|2|3|4|5|6|7|,|Nightly Build|
STR-1526,2,7,|1|,|1|2|3|4|5|6|7|,|
STR-1521,2,7,|,|2|3|4|5|6|7|,|Nightly Build|
STR-1527,2,7,|,|2|3|4|5|6|7|,|Future|
STR-1529,2,7,|,|2|3|4|5|6|7|,|1.1 RC1|
STR-1531,2,7,|,|2|3|4|5|6|7|,|Nightly Build|
STR-1535,2,7,|,|2|3|4|5|6|7|,|1.1 RC1|
STR-1534,2,7,|,|2|3|4|5|6|7|,|1.1 RC1|
STR-1532,2,7,|,|2|3|4|5|6|7|,|1.1 RC1|
STR-1542,2,7,|,|2|3|4|5|6|7|,|1.1 RC1|
STR-1544,2,7,|,|2|3|4|5|6|7|,|Nightly Build|
STR-1547,2,7,|,|2|3|4|5|6|7|,|1.0.1|
STR-1545,2,7,|,|2|3|4|5|6|7|,|Future|
STR-1550,2,7,|,|2|3|4|5|6|7|,|1.1 RC2|
STR-1552,2,7,|,|2|3|4|5|6|7|,|1.1 RC2|
STR-1551,2,7,|,|2|3|4|5|6|7|,|1.1 RC2|
STR-1548,2,7,|,|2|3|4|5|6|7|,|1.1 RC2|
STR-1549,2,7,|,|2|3|4|5|6|7|,|1.1 RC2|
STR-1555,2,7,|,|2|3|4|5|6|7|,|1.1 Beta 3|
STR-1553,2,7,|,|2|3|4|5|6|7|,|1.1 RC2|
STR-1556,2,7,|,|2|3|4|5|6|7|,|1.1 RC2|
STR-1560,3,7,|,|3|4|5|6|7|,|1.1 RC2|
STR-1564,3,7,|,|3|4|5|6|7|,|Nightly Build|
STR-1566,3,7,|,|3|4|5|6|7|,|1.1 RC2|
STR-1561,3,7,|,|3|4|5|6|7|,|1.1 RC2|
STR-1568,3,7,|,|3|4|5|6|7|,|1.1 RC2|
STR-1575,3,7,|,|3|4|5|6|7|,|1.1 RC2|
STR-1572,3,7,|2|,|2|3|4|5|6|7|,|
STR-1571,3,7,|,|3|4|5|6|7|,|1.1 RC2|
STR-1573,3,7,|,|3|4|5|6|7|,|1.1 RC2|
STR-1579,3,7,|2|,|2|3|4|5|6|7|,|
STR-1580,3,7,|2|,|2|3|4|5|6|7|,|
STR-1576,3,7,|,|3|4|5|6|7|,|1.1 RC2|
STR-1577,3,7,|,|3|4|5|6|7|,|1.1 RC2|
STR-1578,3,7,|2|,|2|3|4|5|6|7|,|
STR-1587,3,7,|2|,|2|3|4|5|6|7|,|
STR-1585,3,7,|2|,|2|3|4|5|6|7|,|
STR-1582,3,7,|,|3|4|5|6|7|,|1.1 RC1|
