Index,Version Name,Release Date,Last Commit
1,2.0.0 [alpha],2000-12-08T00:00,9a5a9f748366d5572f0406d460e27c73fa30918b
2,2.0.0 [beta],2001-08-10T00:00,bbdf1d2944fdf691fe581376a22c7ca39bdfb196
3,2.0.0 [beta 2],2001-08-24T00:00,f9c1d6b32ec7cd8ae2081a5215e923da1998fcae
4,2.0.0 [beta 3],2001-10-29T00:00,13a0812cdd131a00ae7e816132ba9417a742bb82
5,2.0.0 [beta 4],2001-12-18T00:00,bdd663c39e2a38fa593bbdd95d4f0744e4d75f65
6,2.0.0,2002-01-30T00:00,6139958777a2d1e218167223393285a2813e4262
7,2.0.1,2002-03-04T00:00,972e747a16966a96cf85776072cc51c7aaa21779
8,2.0.2,2002-06-21T00:00,80ab0016cf601b35cf7eea7052d7331c39bcddcc
9,2.1.0,2002-08-28T00:00,4de34a522106906c5def315551445005384a8f07
10,2.2.0,2002-09-26T00:00,7fbf2946c75b778e9ac57dac9bade4f0c9ced3be
11,2.2.1,2002-11-12T00:00,c25a3ca634c59a3cce73bec41ce68483bd3b015f
12,2.3.0,2003-01-27T00:00,ad0dcb5edc2f67f20252048d78f29e37f6f5be35
13,2.4.0,2003-03-27T00:00,52e3394c2f04d90c5f64bc88cdf6efbb6d137550
14,2.5.0,2003-07-31T00:00,dd6f593350134f2ca94cc723f1883e0fa19eb5c1
15,2.6.0,2003-11-21T00:00,b1bd6d8a4dc7969f527882cadede3f43783d8e1a
16,2.6.1,2004-02-06T00:00,d3e382395d06fbfb96d4c32ad60cb9afcee498cd
17,2.6.2,2004-02-20T00:00,6e2ae441eef4f4f53f469b3463deae55b6f760dd
18,2.7.0,2005-06-24T00:00,6bca4e973a7bceb763f3ad0159389aff65468f1b
19,2.7.1,2005-07-26T00:00,2f9ddb3699218db86441918a7cc2d05c249a1015
20,2.8.0,2006-03-01T00:00,b3e6f86f8c9f35db7d2ac734d3692af5359df50d
21,2.8.1,2006-09-13T00:00,14f499edc46b045a63abad80f32e087b84e91420
22,2.9.0,2006-11-22T00:00,c5a3ecaaafad76f9e94fe46e573b0c865da9d5fd
23,2.9.1,2007-09-14T00:00,1fbea113b7a99c129653cda8322d04460aa89103
24,2.10.0,2010-06-18T00:00,844f055f71d0954b78e6456c5a9a9a45ad332cdf
25,2.11.0,2010-11-30T00:00,9625132bad3ef88dc237de7f13fed03d9706d496
26,2.12.0,2018-04-30T00:00,c69f5fd6f1202cdf93287ebc1801be5e81ddf2d6
