Key,Number of Closed and Linked Bugs,Number of C/L Bugs with no AV,Percent of C/L Bugs with no AV,Number of C/L Bugs with First AV after Ticket Creation,Percent of C/L Bugs with First AV after Ticket Creation,Number of C/L Bugs with a Problem,Percent of C/L Bugs with a Problem
MARMOTTA,161.0,52.0,0.32298136645962733,3.0,0.018633540372670808,55.0,0.3416149068322981
MNG,1115.0,273.0,0.24484304932735426,99.0,0.08878923766816144,372.0,0.33363228699551567
MANTTASKS,50.0,9.0,0.18,1.0,0.02,10.0,0.2
MANTRUN,24.0,6.0,0.25,1.0,0.041666666666666664,7.0,0.2916666666666667
ARCHETYPE,90.0,21.0,0.23333333333333334,0.0,0.0,21.0,0.23333333333333334
MASSEMBLY,212.0,52.0,0.24528301886792453,19.0,0.08962264150943396,71.0,0.33490566037735847
MCHANGES,91.0,25.0,0.27472527472527475,1.0,0.01098901098901099,26.0,0.2857142857142857
MCHECKSTYLE,92.0,29.0,0.31521739130434784,0.0,0.0,29.0,0.31521739130434784
MCOMPILER,70.0,26.0,0.37142857142857144,1.0,0.014285714285714285,27.0,0.38571428571428573
MDEP,100.0,17.0,0.17,1.0,0.01,18.0,0.18
MDEPLOY,35.0,10.0,0.2857142857142857,0.0,0.0,10.0,0.2857142857142857
DOXIA,181.0,57.0,0.3149171270718232,6.0,0.03314917127071823,63.0,0.34806629834254144
MEAR,49.0,14.0,0.2857142857142857,0.0,0.0,14.0,0.2857142857142857
MENFORCER,62.0,14.0,0.22580645161290322,1.0,0.016129032258064516,15.0,0.24193548387096775
MJAR,37.0,11.0,0.2972972972972973,0.0,0.0,11.0,0.2972972972972973
MJAVADOC,162.0,46.0,0.2839506172839506,0.0,0.0,46.0,0.2839506172839506
MPLUGIN,109.0,25.0,0.22935779816513763,0.0,0.0,25.0,0.22935779816513763
MPMD,65.0,18.0,0.27692307692307694,0.0,0.0,18.0,0.27692307692307694
MPIR,88.0,16.0,0.18181818181818182,2.0,0.022727272727272728,18.0,0.20454545454545456
MNGSITE,93.0,93.0,1.0,0.0,0.0,93.0,1.0
MRELEASE,183.0,74.0,0.40437158469945356,1.0,0.00546448087431694,75.0,0.4098360655737705
MRESOURCES,30.0,6.0,0.2,0.0,0.0,6.0,0.2
SCM,267.0,61.0,0.22846441947565543,1.0,0.003745318352059925,62.0,0.23220973782771537
MSHADE,87.0,12.0,0.13793103448275862,0.0,0.0,12.0,0.13793103448275862
