Key,Number of Closed and Linked Bugs,Number of C/L Bugs with no AV,Percent of C/L Bugs with no AV,Number of C/L Bugs with First AV after Ticket Creation,Percent of C/L Bugs with First AV after Ticket Creation,Number of C/L Bugs with a Problem,Percent of C/L Bugs with a Problem
PDFBOX,1591.0,181.0,0.11376492771841609,376.0,0.2363293526084224,557.0,0.3500942803268385
PHOENIX,1270.0,1099.0,0.8653543307086614,1.0,7.874015748031496E-4,1100.0,0.8661417322834646
PIG,1629.0,772.0,0.47391037446286066,226.0,0.1387354205033763,998.0,0.612645794966237
PLUTO,220.0,89.0,0.40454545454545454,12.0,0.05454545454545454,101.0,0.4590909090909091
QPID,2709.0,948.0,0.34994462901439644,171.0,0.06312292358803986,1119.0,0.4130675526024363
DISPATCH,456.0,106.0,0.2324561403508772,21.0,0.046052631578947366,127.0,0.27850877192982454
QPIDJMS,142.0,8.0,0.056338028169014086,0.0,0.0,8.0,0.056338028169014086
PROTON,726.0,223.0,0.3071625344352617,37.0,0.05096418732782369,260.0,0.3581267217630854
RAVE,114.0,60.0,0.5263157894736842,8.0,0.07017543859649122,68.0,0.5964912280701754
SCOUT,78.0,25.0,0.32051282051282054,13.0,0.16666666666666666,38.0,0.48717948717948717
SERF,2.0,1.0,0.5,0.0,0.0,1.0,0.5
SM,622.0,276.0,0.4437299035369775,53.0,0.08520900321543408,329.0,0.5289389067524116
SHINDIG,608.0,383.0,0.6299342105263158,76.0,0.125,459.0,0.7549342105263158
SHIRO,121.0,36.0,0.2975206611570248,5.0,0.04132231404958678,41.0,0.33884297520661155
SLING,1783.0,626.0,0.3510936623667975,74.0,0.04150308468872686,700.0,0.3925967470555244
SOLR,2148.0,908.0,0.4227188081936685,116.0,0.054003724394785846,1024.0,0.4767225325884544
SPARK,5752.0,1765.0,0.3068497913769124,786.0,0.1366481223922114,2551.0,0.4434979137691238
STANBOL,378.0,288.0,0.7619047619047619,8.0,0.021164021164021163,296.0,0.783068783068783
STREAMS,117.0,113.0,0.9658119658119658,0.0,0.0,113.0,0.9658119658119658
STR,121.0,115.0,0.9504132231404959,0.0,0.0,115.0,0.9504132231404959
SVN,23.0,22.0,0.9565217391304348,0.0,0.0,22.0,0.9565217391304348
SYNCOPE,590.0,36.0,0.061016949152542375,30.0,0.05084745762711865,66.0,0.11186440677966102
SYSTEMML,411.0,385.0,0.9367396593673966,4.0,0.009732360097323601,389.0,0.9464720194647201
