Key,Number of Closed and Linked Bugs,Number of C/L Bugs with no AV,Percent of C/L Bugs with no AV,Number of C/L Bugs with First AV after Ticket Creation,Percent of C/L Bugs with First AV after Ticket Creation,Number of C/L Bugs with a Problem,Percent of C/L Bugs with a Problem
TAPESTRY,578.0,60.0,0.10380622837370242,46.0,0.07958477508650519,106.0,0.18339100346020762
TAP5,547.0,56.0,0.10237659963436929,116.0,0.21206581352833637,172.0,0.31444241316270566
THRIFT,1504.0,756.0,0.5026595744680851,18.0,0.011968085106382979,774.0,0.5146276595744681
TIKA,598.0,172.0,0.28762541806020064,23.0,0.038461538461538464,195.0,0.32608695652173914
TILES,165.0,153.0,0.9272727272727272,0.0,0.0,153.0,0.9272727272727272
TINKERPOP,198.0,1.0,0.005050505050505051,2.0,0.010101010101010102,3.0,0.015151515151515152
TOMEE,628.0,421.0,0.6703821656050956,15.0,0.02388535031847134,436.0,0.6942675159235668
TOREE,25.0,19.0,0.76,0.0,0.0,19.0,0.76
TC,43.0,15.0,0.3488372093023256,2.0,0.046511627906976744,17.0,0.3953488372093023
TS,1810.0,1316.0,0.7270718232044199,73.0,0.04033149171270718,1389.0,0.7674033149171271
TUSCANY,1201.0,624.0,0.5195670274771024,121.0,0.10074937552039967,745.0,0.6203164029975021
UIMA,2471.0,1461.0,0.5912585997571833,168.0,0.0679886685552408,1629.0,0.6592472683124241
USERGRID,94.0,87.0,0.925531914893617,3.0,0.031914893617021274,90.0,0.9574468085106383
VELOCITY,199.0,77.0,0.3869346733668342,33.0,0.1658291457286432,110.0,0.5527638190954773
WAVE,37.0,37.0,1.0,0.0,0.0,37.0,1.0
WICKET,2371.0,210.0,0.08857022353437369,93.0,0.0392239561366512,303.0,0.12779417967102488
WINK,86.0,33.0,0.38372093023255816,1.0,0.011627906976744186,34.0,0.3953488372093023
WSS,237.0,101.0,0.42616033755274263,12.0,0.05063291139240506,113.0,0.4767932489451477
XALANC,150.0,116.0,0.7733333333333333,0.0,0.0,116.0,0.7733333333333333
XBEAN,99.0,33.0,0.3333333333333333,1.0,0.010101010101010102,34.0,0.3434343434343434
XERCESC,224.0,21.0,0.09375,13.0,0.05803571428571429,34.0,0.15178571428571427
XERCESJ,240.0,4.0,0.016666666666666666,5.0,0.020833333333333332,9.0,0.0375
XMLBEANS,90.0,30.0,0.3333333333333333,4.0,0.044444444444444446,34.0,0.37777777777777777
ZEPPELIN,803.0,495.0,0.6164383561643836,65.0,0.08094645080946451,560.0,0.6973848069738481
ZOOKEEPER,833.0,243.0,0.2917166866746699,64.0,0.07683073229291716,307.0,0.368547418967587
