(i -FV)/(OV-FV),SZZ0,Actual
15,No,No
16,No,No
17,No,No
18,No,No
19,No,No
0,No,No
1,Yes,Yes
2,Yes,No
3,Yes,No
4,Yes,No
5,Yes,No
6,Yes,No
7,Yes,No
8,Yes,No
9,Yes,No
10,Yes,No
11,Yes,No
12,Yes,No
13,Yes,No
14,Yes,No
15,Yes,No
16,Yes,No
17,Yes,No
18,No,No
19,No,No
20,No,No
21,No,No
22,No,No
23,No,No
24,No,No
0,No,No
1,Yes,Yes
2,No,No
3,No,No
4,No,No
5,No,No
6,No,No
7,No,No
8,No,No
9,No,No
10,No,No
11,No,No
12,No,No
13,No,No
14,No,No
15,No,No
16,No,No
17,No,No
18,No,No
19,No,No
20,No,No
21,No,No
0,No,No
1,Yes,Yes
2,Yes,No
3,Yes,No
4,Yes,No
5,Yes,No
6,Yes,No
7,Yes,No
8,Yes,No
9,Yes,No
10,Yes,No
11,Yes,No
12,Yes,No
13,Yes,No
14,Yes,No
15,Yes,No
16,No,No
17,No,No
18,No,No
19,No,No
20,No,No
21,No,No
22,No,No
23,No,No
24,No,No
0,No,No
1,Yes,Yes
2,Yes,No
3,No,No
4,No,No
5,No,No
6,No,No
7,No,No
8,No,No
9,No,No
10,No,No
11,No,No
12,No,No
13,No,No
14,No,No
15,No,No
16,No,No
17,No,No
18,No,No
19,No,No
20,No,No
21,No,No
0,No,No
1,Yes,Yes
2,No,No
3,No,No
4,No,No
5,No,No
6,No,No
7,No,No
8,No,No
9,No,No
10,No,No
11,No,No
12,No,No
13,No,No
14,No,No
15,No,No
16,No,No
17,No,No
18,No,No
19,No,No
20,No,No
21,No,No
22,No,No
23,No,No
24,No,No
0,No,No
1,Yes,Yes
2,Yes,Yes
3,Yes,No
4,Yes,No
5,Yes,No
6,Yes,No
7,Yes,No
8,Yes,No
9,Yes,No
10,Yes,No
11,Yes,No
12,Yes,No
13,Yes,No
14,Yes,No
15,Yes,No
16,Yes,No
17,Yes,No
18,Yes,No
19,Yes,No
20,Yes,No
21,Yes,No
22,Yes,No
23,No,No
24,No,No
0,No,No
1,No,Yes
2,No,No
3,No,No
4,No,No
5,No,No
6,No,No
7,No,No
8,No,No
9,No,No
10,No,No
11,No,No
12,No,No
13,No,No
14,No,No
15,No,No
16,No,No
17,No,No
18,No,No
19,No,No
20,No,No
21,No,No
0,No,No
1,Yes,Yes
2,Yes,Yes
3,Yes,No
4,Yes,No
5,Yes,No
6,Yes,No
7,Yes,No
8,Yes,No
9,Yes,No
10,Yes,No
11,Yes,No
12,Yes,No
13,Yes,No
14,Yes,No
15,Yes,No
16,Yes,No
17,Yes,No
18,Yes,No
19,Yes,No
20,Yes,No
21,Yes,No
22,Yes,No
23,Yes,No
24,Yes,No
0,No,No
1,Yes,Yes
2,Yes,No
3,Yes,No
4,Yes,No
5,Yes,No
6,Yes,No
7,Yes,No
8,Yes,No
9,Yes,No
10,Yes,No
11,Yes,No
12,Yes,No
13,Yes,No
14,Yes,No
15,Yes,No
16,Yes,No
17,No,No
18,No,No
19,No,No
20,No,No
21,No,No
0,No,No
1,Yes,Yes
2,Yes,Yes
3,Yes,No
4,No,No
5,No,No
6,No,No
7,No,No
8,No,No
9,No,No
10,No,No
11,No,No
12,No,No
13,No,No
14,No,No
15,No,No
16,No,No
17,No,No
18,No,No
19,No,No
20,No,No
21,No,No
0,No,No
1,Yes,Yes
2,Yes,Yes
3,Yes,No
4,Yes,No
5,Yes,No
6,Yes,No
7,No,No
8,No,No
9,No,No
10,No,No
11,No,No
12,No,No
13,No,No
14,No,No
15,No,No
16,No,No
17,No,No
18,No,No
0,No,No
1,Yes,Yes
2,Yes,Yes
3,No,No
4,No,No
5,No,No
6,No,No
7,No,No
8,No,No
9,No,No
10,No,No
11,No,No
12,No,No
13,No,No
14,No,No
15,No,No
16,No,No
17,No,No
18,No,No
0,No,No
1,Yes,Yes
2,Yes,Yes
3,Yes,Yes
4,Yes,No
5,Yes,No
6,Yes,No
7,Yes,No
8,Yes,No
9,Yes,No
10,Yes,No
11,Yes,No
12,Yes,No
13,Yes,No
14,Yes,No
15,Yes,No
16,Yes,No
17,Yes,No
18,Yes,No
19,Yes,No
0,No,No
1,Yes,Yes
2,Yes,No
3,Yes,No
4,Yes,No
5,Yes,No
6,Yes,No
7,Yes,No
8,Yes,No
9,Yes,No
10,Yes,No
11,Yes,No
12,Yes,No
13,Yes,No
14,No,No
15,No,No
16,No,No
17,No,No
18,No,No
19,No,No
20,No,No
21,No,No
22,No,No
23,No,No
24,No,No
0,No,No
1,Yes,Yes
2,Yes,No
3,Yes,No
4,Yes,No
5,Yes,No
6,Yes,No
7,Yes,No
8,Yes,No
9,Yes,No
10,Yes,No
11,Yes,No
12,Yes,No
13,Yes,No
14,Yes,No
15,Yes,No
16,Yes,No
17,Yes,No
18,Yes,No
19,Yes,No
20,No,No
21,No,No
0,No,No
1,Yes,Yes
2,Yes,No
3,Yes,No
4,Yes,No
5,Yes,No
6,Yes,No
7,Yes,No
8,Yes,No
9,Yes,No
10,Yes,No
11,Yes,No
12,Yes,No
13,No,No
14,No,No
0,No,No
1,Yes,Yes
2,Yes,Yes
3,Yes,No
4,Yes,No
5,Yes,No
6,No,No
7,No,No
8,No,No
9,No,No
10,No,No
11,No,No
12,No,No
13,No,No
14,No,No
15,No,No
16,No,No
0,No,No
1,Yes,Yes
2,Yes,Yes
3,Yes,No
4,Yes,No
5,Yes,No
6,Yes,No
7,Yes,No
8,Yes,No
9,Yes,No
10,Yes,No
11,Yes,No
12,Yes,No
13,Yes,No
14,Yes,No
15,No,No
16,No,No
0,No,No
1,Yes,Yes
2,Yes,Yes
3,Yes,No
4,Yes,No
5,Yes,No
6,Yes,No
7,Yes,No
8,Yes,No
9,Yes,No
10,Yes,No
11,Yes,No
12,Yes,No
13,Yes,No
14,Yes,No
15,No,No
16,No,No
0,No,No
1,Yes,Yes
2,Yes,No
3,Yes,No
4,Yes,No
5,Yes,No
6,Yes,No
7,Yes,No
8,Yes,No
9,Yes,No
10,Yes,No
11,Yes,No
12,Yes,No
13,No,No
14,No,No
0,No,No
0.142857143,Yes,Yes
0.285714286,Yes,Yes
0.428571429,Yes,Yes
0.571428571,Yes,Yes
0.714285714,Yes,Yes
0.857142857,Yes,Yes
1,Yes,Yes
1.142857143,Yes,Yes
1.285714286,Yes,Yes
1.428571429,Yes,No
1.571428571,Yes,No
1.714285714,Yes,No
1.857142857,Yes,No
2,Yes,No
2.142857143,Yes,No
2.285714286,Yes,No
2.428571429,Yes,No
2.571428571,Yes,No
2.714285714,Yes,No
2.857142857,Yes,No
3,Yes,No
3.142857143,Yes,No
3.285714286,Yes,No
0,No,No
1,Yes,Yes
2,Yes,No
3,Yes,No
4,Yes,No
5,Yes,No
6,Yes,No
7,Yes,No
8,Yes,No
9,Yes,No
10,Yes,No
11,Yes,No
12,Yes,No
13,No,No
14,No,No
0,No,No
1,Yes,Yes
2,Yes,No
3,Yes,No
4,Yes,No
5,Yes,No
6,Yes,No
7,Yes,No
8,Yes,No
9,Yes,No
10,Yes,No
11,Yes,No
12,Yes,No
13,Yes,No
14,Yes,No
15,Yes,No
16,Yes,No
17,Yes,No
18,Yes,No
19,Yes,No
20,Yes,No
21,Yes,No
22,Yes,No
23,Yes,No
24,No,No
25,No,No
0,No,No
1,Yes,Yes
2,No,No
3,No,No
4,No,No
5,No,No
6,No,No
7,No,No
8,No,No
9,No,No
10,No,No
11,No,No
12,No,No
13,No,No
0,No,No
1,Yes,Yes
2,Yes,No
3,Yes,No
4,Yes,No
5,Yes,No
6,Yes,No
7,Yes,No
8,Yes,No
9,Yes,No
10,Yes,No
11,Yes,No
12,Yes,No
13,Yes,No
14,Yes,No
15,Yes,No
16,Yes,No
17,Yes,No
18,Yes,No
19,Yes,No
20,Yes,No
21,Yes,No
22,Yes,No
23,Yes,No
24,No,No
25,No,No
0,No,No
1,Yes,Yes
2,Yes,No
3,Yes,No
4,Yes,No
5,Yes,No
6,Yes,No
7,Yes,No
8,Yes,No
9,Yes,No
10,Yes,No
11,Yes,No
12,No,No
13,No,No
0,No,No
1,Yes,Yes
2,Yes,Yes
3,Yes,No
4,Yes,No
5,Yes,No
6,Yes,No
7,Yes,No
8,Yes,No
9,Yes,No
10,Yes,No
11,Yes,No
12,Yes,No
13,Yes,No
14,Yes,No
15,No,No
16,No,No
0,No,No
1,Yes,Yes
2,Yes,No
3,Yes,No
4,Yes,No
5,Yes,No
6,Yes,No
7,Yes,No
8,Yes,No
9,Yes,No
10,Yes,No
11,Yes,No
12,Yes,No
13,Yes,No
14,Yes,No
15,Yes,No
16,Yes,No
17,Yes,No
18,Yes,No
19,Yes,No
20,Yes,No
21,Yes,No
22,No,No
23,No,No
0,No,No
1,Yes,Yes
2,Yes,No
3,Yes,No
4,Yes,No
5,Yes,No
6,Yes,No
7,Yes,No
8,Yes,No
9,Yes,No
10,Yes,No
11,Yes,No
12,No,No
13,No,No
0,No,No
1,Yes,Yes
2,Yes,Yes
3,Yes,No
4,Yes,No
5,Yes,No
6,Yes,No
7,Yes,No
8,Yes,No
9,Yes,No
10,No,No
11,No,No
12,No,No
13,No,No
14,No,No
0,No,No
0.166666667,Yes,Yes
0.333333333,Yes,Yes
0.5,Yes,Yes
0.666666667,Yes,Yes
0.833333333,Yes,Yes
1,Yes,Yes
1.166666667,Yes,Yes
1.333333333,Yes,No
1.5,Yes,No
1.666666667,Yes,No
1.833333333,Yes,No
2,Yes,No
2.166666667,Yes,No
2.333333333,Yes,No
2.5,Yes,No
2.666666667,Yes,No
2.833333333,Yes,No
3,Yes,No
3.166666667,Yes,No
0,No,No
1,Yes,Yes
2,Yes,No
3,Yes,No
4,Yes,No
5,Yes,No
6,Yes,No
7,Yes,No
8,Yes,No
9,Yes,No
10,Yes,No
11,Yes,No
12,No,No
13,No,No
0,No,No
1,Yes,Yes
2,Yes,No
3,Yes,No
4,Yes,No
5,Yes,No
6,Yes,No
7,Yes,No
8,Yes,No
9,Yes,No
10,Yes,No
11,Yes,No
12,Yes,No
13,Yes,No
14,Yes,No
15,Yes,No
16,Yes,No
17,No,No
18,No,No
19,No,No
20,No,No
21,No,No
22,No,No
23,No,No
24,No,No
25,No,No
0,No,No
1,Yes,Yes
2,Yes,Yes
3,Yes,No
4,Yes,No
5,Yes,No
6,No,No
7,No,No
8,No,No
9,No,No
10,No,No
11,No,No
12,No,No
13,No,No
14,No,No
15,No,No
16,No,No
17,No,No
18,No,No
19,No,No
20,No,No
21,No,No
22,No,No
23,No,No
0,No,No
1,Yes,Yes
2,Yes,No
3,Yes,No
4,Yes,No
5,Yes,No
6,Yes,No
7,Yes,No
8,Yes,No
9,Yes,No
10,Yes,No
11,Yes,No
12,Yes,No
13,Yes,No
14,Yes,No
15,Yes,No
16,Yes,No
17,Yes,No
18,Yes,No
19,Yes,No
20,Yes,No
21,Yes,No
22,Yes,No
23,Yes,No
24,Yes,No
25,Yes,No
0,No,No
1,Yes,Yes
2,Yes,No
3,Yes,No
4,Yes,No
5,Yes,No
6,Yes,No
7,Yes,No
8,Yes,No
9,Yes,No
10,Yes,No
11,Yes,No
12,Yes,No
13,Yes,No
14,No,No
15,No,No
0,No,No
1,Yes,Yes
2,Yes,No
3,Yes,No
4,Yes,No
5,Yes,No
6,Yes,No
7,Yes,No
8,Yes,No
9,Yes,No
10,Yes,No
11,Yes,No
12,Yes,No
13,Yes,No
14,Yes,No
15,Yes,No
16,Yes,No
17,Yes,No
18,Yes,No
19,Yes,No
20,Yes,No
21,Yes,No
22,Yes,No
23,Yes,No
24,Yes,No
25,Yes,No
0,No,No
1,Yes,Yes
2,Yes,No
3,Yes,No
4,Yes,No
5,Yes,No
6,Yes,No
7,Yes,No
8,Yes,No
9,Yes,No
10,Yes,No
11,Yes,No
12,Yes,No
13,Yes,No
14,Yes,No
15,Yes,No
16,Yes,No
17,Yes,No
18,Yes,No
19,Yes,No
20,Yes,No
21,Yes,No
22,Yes,No
23,Yes,No
24,No,No
25,No,No
0,No,No
1,Yes,Yes
2,Yes,Yes
3,No,No
4,No,No
5,No,No
6,No,No
7,No,No
8,No,No
9,No,No
10,No,No
11,No,No
12,No,No
13,No,No
0,No,No
1,Yes,Yes
2,Yes,Yes
3,Yes,Yes
4,Yes,Yes
5,Yes,No
6,Yes,No
7,Yes,No
8,Yes,No
9,Yes,No
10,Yes,No
11,Yes,No
12,No,No
13,No,No
14,No,No
15,No,No
16,No,No
17,No,No
18,No,No
0,No,No
0.25,Yes,Yes
0.5,Yes,Yes
0.75,Yes,Yes
1,Yes,Yes
1.25,Yes,Yes
1.5,No,No
1.75,No,No
2,No,No
2.25,No,No
2.5,No,No
2.75,No,No
3,No,No
3.25,No,No
3.5,No,No
3.75,No,No
4,No,No
4.25,No,No
4.5,No,No
4.75,No,No
0,No,No
0.333333333,Yes,Yes
0.666666667,Yes,Yes
1,Yes,Yes
1.333333333,Yes,Yes
1.666666667,No,No
2,No,No
2.333333333,No,No
2.666666667,No,No
3,No,No
3.333333333,No,No
3.666666667,No,No
4,No,No
4.333333333,No,No
4.666666667,No,No
5,No,No
5.333333333,No,No
5.666666667,No,No
6,No,No
0,No,No
1,Yes,Yes
2,Yes,No
3,Yes,No
4,Yes,No
5,Yes,No
6,Yes,No
7,No,No
8,No,No
9,No,No
10,No,No
11,No,No
12,No,No
13,No,No
14,No,No
15,No,No
16,No,No
17,No,No
18,No,No
19,No,No
0,No,No
1,Yes,Yes
2,Yes,No
3,Yes,No
4,Yes,No
5,Yes,No
6,Yes,No
7,Yes,No
8,Yes,No
9,Yes,No
10,Yes,No
11,No,No
12,No,No
13,No,No
14,No,No
15,No,No
16,No,No
17,No,No
18,No,No
19,No,No
0,No,No
1,Yes,Yes
2,No,No
3,No,No
4,No,No
5,No,No
6,No,No
7,No,No
8,No,No
9,No,No
10,No,No
11,No,No
12,No,No
13,No,No
14,No,No
15,No,No
16,No,No
17,No,No
18,No,No
19,No,No
20,No,No
21,No,No
22,No,No
0,No,No
1,Yes,Yes
2,Yes,No
3,Yes,No
4,Yes,No
5,Yes,No
6,Yes,No
7,Yes,No
8,Yes,No
9,Yes,No
10,Yes,No
11,Yes,No
12,Yes,No
13,Yes,No
14,Yes,No
15,Yes,No
16,Yes,No
17,Yes,No
18,Yes,No
19,Yes,No
20,Yes,No
21,Yes,No
22,Yes,No
23,Yes,No
24,No,No
25,No,No
0,No,No
1,Yes,Yes
2,Yes,No
3,Yes,No
4,Yes,No
5,Yes,No
6,Yes,No
7,Yes,No
8,No,No
9,No,No
10,No,No
11,No,No
12,No,No
13,No,No
14,No,No
0,No,No
1,Yes,Yes
2,Yes,No
3,Yes,No
4,Yes,No
5,Yes,No
6,Yes,No
7,Yes,No
8,Yes,No
9,Yes,No
10,Yes,No
11,Yes,No
12,Yes,No
13,No,No
14,No,No
0,No,No
1,Yes,Yes
2,Yes,Yes
3,Yes,No
4,Yes,No
5,Yes,No
6,Yes,No
