Bug ID,Bug Resolution Date,Ticket Creation Date,Fix Date,Hash,Git Directory
QPIDJMS-198,2016-08-05 18:10:34 +0000,2016-08-04 21:19:54 +0000,2016-08-05 14:01:43 -0400,c2af69e99608f653d84dfc3a249f2d291493ceed,qpid-jms
QPIDJMS-231,2017-02-03 16:37:48 +0000,2016-12-09 10:06:30 +0000,2017-02-03 11:26:03 -0500,d22a22f64df447152b78a575e5b2ce44c0b89087,qpid-jms
QPIDJMS-111,2015-10-08 16:46:28 +0000,2015-09-18 15:26:34 +0000,2015-09-18 16:26:58 +0100,6688ca12a61363f3d6c168af17a5c5ef7037869b,qpid-jms
QPIDJMS-199,2016-09-01 15:45:32 +0000,2016-08-05 21:15:28 +0000,2016-08-23 16:58:32 -0400,638e31cf671ed2ee5447a8acb76ed7f88ab4ae6f,qpid-jms
QPIDJMS-195,2016-08-03 18:53:08 +0000,2016-08-03 17:28:25 +0000,2016-08-03 18:28:43 +0100,dfa2b67394b31712ff58c0fcd3725b1c13094b64,qpid-jms
QPIDJMS-196,2016-08-03 22:22:35 +0000,2016-08-03 22:18:23 +0000,2016-08-03 18:21:17 -0400,aef8ade2c101b9931bbcf25a1efe2c619ca89e15,qpid-jms
QPIDJMS-43,2015-05-18 10:03:03 +0000,2015-04-16 22:48:40 +0000,2018-12-12 12:32:56 -0500,26ec26863410ddf11097054987764b93567a4663,qpid-jms
QPIDJMS-42,2015-04-16 20:02:52 +0000,2015-04-15 17:51:08 +0000,2018-11-12 16:50:58 +0000,19ae976869acf0d731fc36378072a971137a36d2,qpid-jms
QPIDJMS-41,2015-04-14 14:11:06 +0000,2015-04-13 23:25:02 +0000,2018-10-17 12:50:26 -0400,59884aa60c89b843f8d8de1c26734a6d53417719,qpid-jms
QPIDJMS-40,2015-04-15 20:06:46 +0000,2015-04-12 18:30:34 +0000,2018-08-14 14:33:33 -0400,c5c90534c2a761cd32e2462b942d00b420a7358d,qpid-jms
QPIDJMS-49,2015-05-20 13:29:19 +0000,2015-05-14 12:35:28 +0000,2015-05-20 14:27:36 +0100,6b7320052b26fb2345bd3c7aac44e94857c98cbd,qpid-jms
QPIDJMS-48,2015-06-09 17:04:58 +0000,2015-05-14 12:11:58 +0000,2015-06-09 18:03:04 +0100,ef375058577c79340fd84125b6ba877bda048224,qpid-jms
QPIDJMS-227,2016-11-28 18:03:20 +0000,2016-11-28 08:49:50 +0000,2016-11-28 12:59:08 -0500,020ae3a7c9897478a88995b2b5ddb87034b333ff,qpid-jms
QPIDJMS-107,2015-09-10 16:36:18 +0000,2015-09-10 16:33:48 +0000,2015-09-10 12:34:29 -0400,d500731aecb5ebc83349f0157ee58213f618f364,qpid-jms
QPIDJMS-228,2016-12-12 15:28:58 +0000,2016-11-29 21:46:47 +0000,2016-12-16 11:55:11 +0000,2a4108be0c49194e90cfe441c94bdd4e3b3e6dd2,qpid-jms
QPIDJMS-108,2015-10-08 16:44:54 +0000,2015-09-11 12:13:36 +0000,2015-09-11 17:08:45 -0400,d20986f1e19cdaacf4cc0781263fda189a9932fe,qpid-jms
QPIDJMS-102,2015-08-27 10:40:31 +0000,2015-08-26 17:58:17 +0000,2015-08-26 19:22:11 +0100,27c7242168003586796a0f26d905df31e8bd7735,qpid-jms
QPIDJMS-223,2016-11-17 00:01:41 +0000,2016-11-16 23:45:54 +0000,2016-11-16 18:48:41 -0500,529ca03c14b680e6cb1a308747975f4f1b57c5bd,qpid-jms
QPIDJMS-344,2017-11-06 16:10:11 +0000,2017-10-30 17:12:17 +0000,2017-10-30 13:29:52 -0400,b8bdec81b13e52e0f924ad01847a54d49e7106fa,qpid-jms
QPIDJMS-103,2015-08-27 16:21:21 +0000,2015-08-26 23:49:47 +0000,2015-08-26 20:09:47 -0400,214045ccd6ee08ba83feffed6975058153a58ec9,qpid-jms
QPIDJMS-224,2016-11-18 20:42:10 +0000,2016-11-18 20:38:31 +0000,2016-11-18 15:40:02 -0500,6c067a62adba3adaefc28619a347b3b917d32b2d,qpid-jms
