Bug ID,Bug Resolution Date,Ticket Creation Date,Fix Date,Hash,Git Directory
TINKERPOP-1796,2017-10-10 17:04:31 +0000,2017-10-03 15:13:51 +0000,2017-10-10 12:58:30 -0400,dd48dcc0f7d3230a072afa8908830892193d6c0b,tinkerpop
TINKERPOP-1797,2017-10-18 21:30:02 +0000,2017-10-09 16:25:32 +0000,2017-10-18 13:15:30 -0600,19e261c53fa4c95a5e12c49dc572cc280c3cb0ec,tinkerpop
TINKERPOP-1795,2017-10-04 14:24:14 +0000,2017-10-02 19:35:35 +0000,2017-10-04 07:29:17 -0600,a278edd85cfff9028004cc37c95ecac1219bb954,tinkerpop
TINKERPOP-2081,2018-10-29 17:15:05 +0000,2018-10-26 12:51:36 +0000,2018-10-29 12:31:25 +0300,5cc25368b3e6773a78c4159c61b51cbf84af607c,tinkerpop
TINKERPOP-977,2015-11-19 11:00:02 +0000,2015-11-19 07:41:57 +0000,2015-11-19 05:57:12 -0500,d3b927a89c3a5806cf1b8d8c548081f4e6201159,tinkerpop
TINKERPOP-1547,2016-11-11 00:28:04 +0000,2016-11-08 16:20:17 +0000,2016-11-10 17:29:56 -0700,d0389168d14bf8ce56918d8c639f3ab66176029a,tinkerpop
TINKERPOP-1789,2017-09-28 20:08:21 +0000,2017-09-21 19:06:29 +0000,2017-09-28 14:06:01 -0600,1cd042b61d0dea08d003a7ff9e57f175343c039c,tinkerpop
TINKERPOP-1548,2016-11-22 17:03:14 +0000,2016-11-10 15:49:00 +0000,2016-11-22 10:56:33 -0600,1fcca95809ea39831e8b6afabd3adc1b5db536c8,tinkerpop
TINKERPOP-1545,2017-01-12 14:25:33 +0000,2016-11-03 23:48:36 +0000,2017-01-12 15:23:23 +0100,72aca97eaf2b03f05d7d895b459d818a2140922a,tinkerpop
TINKERPOP-1666,2017-04-26 02:26:28 +0000,2017-04-06 17:05:35 +0000,2017-04-26 07:08:06 -0400,8cb429c0d941ef867d35d41484df3f0d7589ebe4,tinkerpop
TINKERPOP-1305,2016-05-21 04:14:51 +0000,2016-05-18 21:41:00 +0000,2016-05-20 22:08:41 -0600,9c53c73e6475d2c701833648a18eaff029626087,tinkerpop
TINKERPOP-1307,2016-05-25 14:48:55 +0000,2016-05-19 22:48:21 +0000,2016-05-25 08:43:24 -0600,4318b6c4c8a005117590cfc1e861d1a88ad4c068,tinkerpop
TINKERPOP-1428,2016-11-10 14:13:22 +0000,2016-09-02 14:32:53 +0000,2016-11-10 07:12:33 -0700,398e834c4f1a082fc541f87eaf2b90bdfab07b6b,tinkerpop
TINKERPOP-1660,2017-03-29 14:50:03 +0000,2017-03-29 14:30:07 +0000,2017-03-29 10:48:26 -0400,661317825c117f70272b47041daf6ba6c81744ac,tinkerpop
TINKERPOP-1423,2016-09-27 18:47:19 +0000,2016-08-30 21:13:46 +0000,2016-09-27 12:45:49 -0600,1b1defc685a4cae715d65001e36e2fbe55186bc8,tinkerpop
TINKERPOP-1783,2017-09-22 14:50:28 +0000,2017-09-14 14:27:08 +0000,2017-09-22 08:49:47 -0600,e04245b534119ac5c5b8a7181b33bbd1821aad29,tinkerpop
TINKERPOP-1534,2016-11-02 15:43:31 +0000,2016-10-28 15:14:41 +0000,2016-11-02 11:41:35 -0400,0f84e4378d82bcefb79071d8d14a92202a7a6445,tinkerpop
TINKERPOP-1777,2018-03-07 15:21:53 +0000,2017-09-11 20:17:23 +0000,2018-03-07 08:19:41 -0700,a35f009a043eac62f610ffaa28e43d7f6fbb86b6,tinkerpop
TINKERPOP-1898,2018-09-05 20:35:11 +0000,2018-02-21 09:12:09 +0000,2018-09-05 16:27:34 -0400,81f2292c9a3c3b28a175000ec37d7d5746dcd7ab,tinkerpop
TINKERPOP-1650,2017-10-11 19:24:16 +0000,2017-03-15 19:56:45 +0000,2017-10-11 14:19:16 -0500,1fa01ef7014b6f2b3044ee6fc673e18d318acb09,tinkerpop
TINKERPOP-1892,2018-03-19 14:57:56 +0000,2018-02-15 14:31:46 +0000,2018-03-12 20:08:21 +0100,b25b9767547b2956f224cbe6fb55c756d5df612e,tinkerpop
TINKERPOP-1890,2018-02-14 15:13:56 +0000,2018-02-14 15:06:05 +0000,2018-02-14 10:08:35 -0500,2d7113aaa166b69a8503be27aebf36a8063b82bd,tinkerpop
TINKERPOP-1896,2018-03-14 12:18:38 +0000,2018-02-20 20:20:09 +0000,2018-03-14 07:58:22 -0400,1ea01ad2e0748d400cc89d92d2dbfe07dd2cb6be,tinkerpop
TINKERPOP-1531,2017-01-11 00:57:26 +0000,2016-10-27 09:55:56 +0000,2017-01-10 17:56:34 -0700,31439c03cde08ebb2be81c4ef53181b00035d02e,tinkerpop
TINKERPOP-1652,2017-03-24 21:16:29 +0000,2017-03-16 13:32:05 +0000,2017-03-29 11:22:58 -0400,acc8d7399e291a8c9a517d223dea846c1c67d7c3,tinkerpop
TINKERPOP-1773,2017-09-09 13:27:47 +0000,2017-09-09 13:13:45 +0000,2017-09-09 09:26:39 -0400,4ddb09c1e9c5d058778c151e40ac89bfdc713849,tinkerpop
TINKERPOP-1894,2018-03-01 17:54:20 +0000,2018-02-20 15:11:24 +0000,2018-03-15 10:33:45 -0400,0bf9b2f718f7db8344845d8fb5327ea16f1e9414,tinkerpop
TINKERPOP-2180,2019-04-02 15:20:53 +0000,2019-03-20 10:08:43 +0000,2019-04-04 08:57:10 +0200,62158d28ce647fd935bf7c61a6ac4239d9e214c8,tinkerpop
TINKERPOP-2183,2019-04-17 16:54:10 +0000,2019-03-21 11:11:13 +0000,2019-04-17 12:51:17 -0400,5e60558d0f6fe79249b25e9afbbf1c679f4aa671,tinkerpop
TINKERPOP-997,2016-01-22 19:05:21 +0000,2015-11-27 12:39:41 +0000,2016-01-22 14:04:10 -0500,1d8642b8623d507cc4a7cf034216aebe41af5983,tinkerpop
TINKERPOP-1525,2016-10-31 17:32:15 +0000,2016-10-25 00:17:16 +0000,2016-10-29 15:17:11 -0600,d8eaf20822952908037220b6659f9d801e873c73,tinkerpop
TINKERPOP-1405,2016-08-16 15:50:31 +0000,2016-08-14 18:37:21 +0000,2016-08-16 10:48:45 -0500,6052303f32c0f7e51d020f2c4e0e747c43ea0ad0,tinkerpop
TINKERPOP-1766,2017-09-14 15:55:04 +0000,2017-09-02 14:05:30 +0000,2017-09-14 12:35:59 +0200,9402e4e4384d7062f87f143a6ffbfddaa13781df,tinkerpop
TINKERPOP-1528,2017-02-27 18:44:31 +0000,2016-10-25 17:20:44 +0000,2017-02-25 19:35:05 +0100,83125578df6d89d1a617ffa2a1c3c82d0f78f331,tinkerpop
TINKERPOP-1880,2018-03-23 12:06:35 +0000,2018-01-31 13:48:05 +0000,2018-03-23 12:21:00 +0100,fdac6531f89e59306659ca850112b6a6857bd32a,tinkerpop
TINKERPOP-2177,2019-03-13 12:22:47 +0000,2019-03-09 00:04:33 +0000,2019-03-13 08:20:15 -0400,845bb9cf2c7cb360806d0abb816777300e2fb33a,tinkerpop
TINKERPOP-1760,2017-09-13 11:04:32 +0000,2017-08-28 15:28:29 +0000,2017-08-29 17:42:25 -0600,74f10b1349ac4217a66be64431ef99b4388633bc,tinkerpop
TINKERPOP-1089,2016-01-21 14:56:05 +0000,2016-01-19 12:16:48 +0000,2016-01-21 07:04:25 -0700,e38df7fc64cf4e7570bad26fa717c49df8ee1b93,tinkerpop
TINKERPOP-1088,2016-05-24 18:50:12 +0000,2016-01-19 11:46:43 +0000,2016-05-24 14:47:54 -0400,55a509f2b1fb9d9f1787940197f99c95beb4d0d0,tinkerpop
TINKERPOP-1400,2016-08-09 20:32:11 +0000,2016-08-05 16:33:01 +0000,2016-08-09 05:41:49 -0600,bce966993ccae31a100fe3cdb45928dbd2f11cd7,tinkerpop
TINKERPOP-1521,2017-01-10 17:35:04 +0000,2016-10-18 18:07:53 +0000,2017-01-10 10:34:26 -0700,fd760264c8d4809bece403c294b98b0cf23e031f,tinkerpop
TINKERPOP-1764,2017-09-13 11:04:19 +0000,2017-08-30 14:04:52 +0000,2017-09-05 16:46:14 -0600,bef6b3fea4303fe8204c4556a9bf1ee0615a6826,tinkerpop
TINKERPOP-1640,2017-03-01 20:51:25 +0000,2017-02-24 13:08:55 +0000,2017-03-01 13:11:12 -0700,ee39d1f3d0cb3927f322a6182fc60d980364fae4,tinkerpop
TINKERPOP-1761,2017-10-12 16:48:10 +0000,2017-08-29 13:53:12 +0000,2017-09-11 11:25:12 +0200,2a8c92f245aa28b66c616e62230bfd3972e7e5b9,tinkerpop
TINKERPOP-1762,2017-09-13 11:04:46 +0000,2017-08-29 19:39:19 +0000,2017-09-05 16:03:40 -0600,99554b9ef44819b6b654e8e3d900081bb66c1db6,tinkerpop
TINKERPOP-1520,2017-09-13 11:56:46 +0000,2016-10-18 17:04:24 +0000,2016-11-24 04:52:16 -0700,a492f876308298b53676e3dca78003f8cf6049c7,tinkerpop
TINKERPOP-1883,2018-02-20 18:38:28 +0000,2018-02-02 21:20:18 +0000,2018-02-20 13:28:54 -0500,545f3bf895a10f5ec76b466f71b93fc1304f88d3,tinkerpop
TINKERPOP-1083,2016-01-14 15:00:24 +0000,2016-01-13 03:03:55 +0000,2016-01-14 07:58:39 -0700,7e7b83e301272dce478d1a949e9c7f5e775716b4,tinkerpop
TINKERPOP-2173,2019-03-14 13:08:33 +0000,2019-03-08 03:06:35 +0000,2019-03-08 15:38:37 -0800,13439ac43a7e1423d97d8e13922057af3753a93e,tinkerpop
TINKERPOP-1999,2018-07-18 20:32:25 +0000,2018-07-09 19:19:51 +0000,2018-07-18 11:06:43 -0400,0272a2e42cd7cafaf7e51b6ef56f5cd6e5b3d691,tinkerpop
TINKERPOP-1512,2016-10-16 20:33:44 +0000,2016-10-16 15:58:30 +0000,2016-10-16 19:36:03 -0500,6b1865d7883214742424e1a4c136da8f7802144f,tinkerpop
TINKERPOP-1754,2017-08-19 10:57:09 +0000,2017-08-18 11:19:20 +0000,2017-08-18 15:21:23 +0300,6144dd044b85ae897af39fae5e72524281944c4f,tinkerpop
TINKERPOP-1875,2018-02-06 02:54:56 +0000,2018-01-19 02:28:44 +0000,2018-02-05 18:49:31 -0800,f5d67e4a4fc8a2d1a671d9ed76eaba6027654333,tinkerpop
TINKERPOP-1879,2018-01-31 11:40:44 +0000,2018-01-25 12:11:18 +0000,2018-01-31 06:38:49 -0500,0f58b7cda7f99aadce94c59a5ec5b14aa7f57bde,tinkerpop
TINKERPOP-1758,2018-03-21 12:11:32 +0000,2017-08-24 16:59:19 +0000,2018-03-20 15:25:29 -0400,6323f4912433f64c1e890f7e6fd8156dc10b299e,tinkerpop
TINKERPOP-1638,2017-02-27 18:43:46 +0000,2017-02-23 13:37:20 +0000,2017-02-27 19:41:43 +0100,ab3c7e8931b319d1bf2df4170cb857dda27ab8d1,tinkerpop
TINKERPOP-1351,2016-07-13 20:21:28 +0000,2016-06-29 11:54:06 +0000,2016-06-30 17:39:28 -0400,e66f2c98374e0ad53a38395091d72fb0e745f752,tinkerpop
TINKERPOP-1594,2017-01-09 14:44:22 +0000,2017-01-09 14:37:17 +0000,2017-01-09 07:43:50 -0700,c3e6ed9031eab3f698a149c7c2c3f70c095ec8f6,tinkerpop
TINKERPOP-1350,2016-08-08 10:52:43 +0000,2016-06-28 19:14:20 +0000,2016-08-08 06:49:17 -0400,58d8bade7425c7a7865382990eaaed2b7d90659c,tinkerpop
TINKERPOP-1352,2016-07-08 18:24:45 +0000,2016-06-29 18:21:01 +0000,2016-07-08 14:15:01 -0400,c8c77afeb63f88d7b153738db2bddba12aeda969,tinkerpop
TINKERPOP-1478,2017-02-23 13:49:34 +0000,2016-09-28 16:14:47 +0000,2016-09-28 12:48:26 -0400,762f6b229925d407390e78d587ef98863205c870,tinkerpop
TINKERPOP-1583,2017-01-27 21:34:19 +0000,2016-12-07 20:33:06 +0000,2017-01-27 14:39:17 -0600,f0875d7be6c0549a091656fa1bd7da22ed3409b0,tinkerpop
TINKERPOP-1581,2017-09-13 11:54:54 +0000,2016-12-06 14:04:53 +0000,2017-01-10 12:08:33 -0500,e3e0bef787a60ba9cfd58dd5ef22c0f32025b7e6,tinkerpop
TINKERPOP-1466,2016-10-13 16:45:24 +0000,2016-09-25 11:24:23 +0000,2016-10-13 10:56:23 -0600,d13ed72b45e95d120da97efbca397376165c6046,tinkerpop
TINKERPOP-1587,2016-12-29 10:40:58 +0000,2016-12-19 17:13:27 +0000,2016-12-29 06:29:02 -0500,ab2ca16c73b03b0c92e31cd0ed60037b3b6c28d7,tinkerpop
TINKERPOP-1467,2016-10-04 17:42:53 +0000,2016-09-25 12:33:31 +0000,2016-10-04 13:40:52 -0400,5e55379a8d25a5964bb9554206651cebd7a591ce,tinkerpop
TINKERPOP-1585,2017-01-09 14:54:50 +0000,2016-12-17 15:39:29 +0000,2017-01-09 07:54:03 -0700,2d824cf29f7d914405e262f4111aa2f5a7c272dc,tinkerpop
TINKERPOP-1103,2016-04-04 15:57:52 +0000,2016-01-26 21:55:42 +0000,2016-04-04 09:57:42 -0600,3cdf6bb455a9f6730c660014db14583792c10b26,tinkerpop
TINKERPOP-1215,2016-05-11 15:30:16 +0000,2016-03-10 00:07:06 +0000,2016-05-11 09:24:54 -0600,5165d0d94a6717aa4a57e70f4e4818be2699f0b1,tinkerpop
TINKERPOP-1457,2016-09-23 16:11:14 +0000,2016-09-20 19:45:06 +0000,2016-09-23 12:10:31 -0400,230515947ef9e514428880dede1b424e599b2251,tinkerpop
TINKERPOP-1217,2016-03-17 23:25:57 +0000,2016-03-11 02:33:35 +0000,2016-03-17 17:24:23 -0600,8ae188fe0f0e2de6af0efe7c3efccf7ec19f072e,tinkerpop
TINKERPOP-1451,2017-02-23 13:48:19 +0000,2016-09-15 16:47:58 +0000,2016-09-20 06:57:46 -0400,ec10b62d9a59be80858276a062aaea74e50d0cf0,tinkerpop
TINKERPOP-1573,2016-12-01 14:00:04 +0000,2016-11-29 12:01:52 +0000,2016-12-01 06:12:15 -0700,46888b1a06f6d145dd8403b8e88280f111fd1539,tinkerpop
TINKERPOP-1691,2017-06-23 10:22:57 +0000,2017-06-14 11:11:11 +0000,2017-06-23 06:20:03 -0400,a104680d3eb0fa5c73855407d1fb2fd76fae1f72,tinkerpop
TINKERPOP-1211,2016-11-04 12:10:40 +0000,2016-03-09 02:41:31 +0000,2016-11-04 06:09:56 -0600,15447446440f314e7880fe89fed13ed06c09f7e8,tinkerpop
