Key,Ticket Creation Date,Resolved Date,Recorded AV,Assumed AV,Recorded AV with Missing Dates
PLUTO-221,2,2,|,|2|,|unspecified|
PLUTO-201,2,2,|1|,|1|2|,|
PLUTO-194,2,2,|1|,|1|2|,|
PLUTO-193,2,2,|4|,|2|,|
PLUTO-237,2,2,|,|2|,|unspecified|
PLUTO-242,3,3,|2|,|2|3|,|
PLUTO-219,2,3,|,|2|3|,|1.0.1|
PLUTO-243,3,3,|2|,|2|3|,|
PLUTO-196,2,3,|,|2|3|,|1.0.1|
PLUTO-246,3,3,|2|,|2|3|,|
PLUTO-248,3,3,|2|,|2|3|,|
PLUTO-251,3,3,|2|,|2|3|,|
PLUTO-191,2,3,|4|,|2|3|,|
PLUTO-254,3,3,|2|,|2|3|,|unspecified|
PLUTO-245,3,3,|2|,|2|3|,|
PLUTO-232,2,3,|1|2|,|1|2|3|,|1.0.1|
PLUTO-249,3,3,|2|,|2|3|,|
PLUTO-233,2,3,|2|4|,|2|3|,|
PLUTO-239,2,3,|,|2|3|,|unspecified|
PLUTO-270,4,4,|1|2|3|,|1|2|3|4|,|1.1-286-COMPATIBILITY|
PLUTO-272,4,4,|,|4|,|unspecified|
PLUTO-121,1,4,|1|,|1|2|3|4|,|
PLUTO-261,4,4,|3|,|3|4|,|
PLUTO-258,3,4,|2|,|2|3|4|,|
PLUTO-122,1,4,|1|,|1|2|3|4|,|1.0.1-rc1|1.0.1-rc2|1.0.1-rc3|
PLUTO-200,2,4,|2|4|,|2|3|4|,|
PLUTO-277,4,4,|,|4|,|unspecified|
PLUTO-234,2,4,|2|,|2|3|4|,|
PLUTO-257,3,4,|2|,|2|3|4|,|
PLUTO-281,4,4,|,|4|,|unspecified|
PLUTO-289,4,4,|3|,|3|4|,|
PLUTO-296,4,4,|3|,|3|4|,|
PLUTO-298,4,4,|1|,|1|2|3|4|,|
PLUTO-288,4,4,|3|,|3|4|,|
PLUTO-282,4,4,|,|4|,|unspecified|
PLUTO-297,4,4,|3|,|3|4|,|
PLUTO-280,4,4,|,|4|,|unspecified|
PLUTO-299,4,4,|3|,|3|4|,|
PLUTO-285,4,4,|5|,|4|,|
PLUTO-304,5,5,|3|,|3|4|5|,|
PLUTO-303,5,5,|3|,|3|4|5|,|
PLUTO-311,5,5,|,|5|,|unspecified|
PLUTO-307,5,5,|4|,|4|5|,|
PLUTO-309,5,5,|4|,|4|5|,|
PLUTO-310,5,5,|3|,|3|4|5|,|unspecified|
PLUTO-9,1,5,|,|1|2|3|4|5|,|unspecified|
PLUTO-18,1,5,|,|1|2|3|4|5|,|unspecified|
PLUTO-23,1,5,|,|1|2|3|4|5|,|unspecified|
PLUTO-22,1,5,|,|1|2|3|4|5|,|unspecified|
PLUTO-21,1,5,|,|1|2|3|4|5|,|unspecified|
PLUTO-26,1,5,|,|1|2|3|4|5|,|unspecified|
PLUTO-25,1,5,|,|1|2|3|4|5|,|unspecified|
PLUTO-29,1,5,|,|1|2|3|4|5|,|unspecified|
PLUTO-30,1,5,|,|1|2|3|4|5|,|unspecified|
PLUTO-36,1,5,|,|1|2|3|4|5|,|unspecified|
PLUTO-34,1,5,|,|1|2|3|4|5|,|unspecified|
PLUTO-32,1,5,|,|1|2|3|4|5|,|unspecified|
PLUTO-31,1,5,|,|1|2|3|4|5|,|unspecified|
PLUTO-47,1,5,|,|1|2|3|4|5|,|unspecified|
PLUTO-45,1,5,|,|1|2|3|4|5|,|unspecified|
PLUTO-313,5,5,|4|,|4|5|,|
PLUTO-327,5,5,|4|,|4|5|,|
PLUTO-329,6,6,|5|,|5|6|,|
PLUTO-332,6,6,|5|,|5|6|,|
PLUTO-331,6,6,|5|,|5|6|,|
PLUTO-336,6,6,|5|,|5|6|,|
PLUTO-351,7,7,|3|,|3|4|5|6|7|,|
PLUTO-355,8,8,|6|7|,|6|7|8|,|
PLUTO-383,8,8,|7|,|7|8|,|1.2.0|
PLUTO-341,6,8,|4|5|6|7|,|4|5|6|7|8|,|1.2.0|
PLUTO-377,8,8,|,|8|,|1.1-286-COMPATIBILITY|
PLUTO-381,8,8,|7|,|7|8|,|
PLUTO-386,8,8,|4|5|6|7|,|4|5|6|7|8|,|
PLUTO-393,8,8,|8|,|8|,|1.2.0|
PLUTO-370,8,8,|7|,|7|8|,|
PLUTO-389,8,8,|7|,|7|8|,|1.2.0|
PLUTO-400,9,9,|7|,|7|8|9|,|
PLUTO-451,9,9,|9|12|,|9|,|
PLUTO-430,9,9,|12|,|9|,|1.1-286-COMPATIBILITY|
PLUTO-479,10,10,|12|,|10|,|
PLUTO-485,10,10,|9|,|9|10|,|
PLUTO-464,9,10,|12|,|9|10|,|
PLUTO-469,9,10,|6|8|,|6|7|8|9|10|,|
PLUTO-468,9,10,|8|12|,|8|9|10|,|
PLUTO-440,9,11,|8|,|8|9|10|11|,|
PLUTO-505,11,11,|12|,|11|,|2.0-refactoring|
PLUTO-506,11,11,|12|,|11|,|2.0-refactoring|
PLUTO-507,11,11,|12|,|11|,|2.0-refactoring|
PLUTO-494,10,11,|,|10|11|,|2.0-refactoring|
PLUTO-508,11,12,|12|,|11|12|,|
PLUTO-482,10,12,|12|,|10|11|12|,|
PLUTO-502,11,12,|12|,|11|12|,|
PLUTO-364,8,12,|,|8|9|10|11|12|,|1.1-286-COMPATIBILITY|
PLUTO-365,8,12,|,|8|9|10|11|12|,|1.1-286-COMPATIBILITY|
PLUTO-124,1,12,|1|,|1|2|3|4|5|6|7|8|9|10|11|12|,|1.0.1-rc3|1.0.1-rc4|1.0.1|
PLUTO-527,15,15,|12|,|12|13|14|15|,|
PLUTO-528,15,15,|12|,|12|13|14|15|,|
PLUTO-541,15,15,|11|12|,|11|12|13|14|15|,|
PLUTO-362,8,15,|6|,|6|7|8|9|10|11|12|13|14|15|,|
PLUTO-363,8,15,|6|,|6|7|8|9|10|11|12|13|14|15|,|
PLUTO-434,9,15,|9|,|9|10|11|12|13|14|15|,|
PLUTO-426,9,15,|8|,|8|9|10|11|12|13|14|15|,|1.2.0|
PLUTO-564,15,15,|13|,|13|14|15|,|
PLUTO-650,20,20,|20|,|20|,|
PLUTO-651,20,20,|20|,|20|,|
PLUTO-605,18,20,|15|,|15|16|17|18|19|20|,|
PLUTO-604,18,20,|15|,|15|16|17|18|19|20|,|
PLUTO-588,15,20,|12|,|12|13|14|15|16|17|18|19|20|,|
PLUTO-587,15,20,|14|,|14|15|16|17|18|19|20|,|
PLUTO-555,15,20,|10|,|10|11|12|13|14|15|16|17|18|19|20|,|
PLUTO-467,9,20,|,|9|10|11|12|13|14|15|16|17|18|19|20|,|1.2.0|
PLUTO-427,9,20,|8|,|8|9|10|11|12|13|14|15|16|17|18|19|20|,|1.2.0|
PLUTO-391,8,20,|7|,|7|8|9|10|11|12|13|14|15|16|17|18|19|20|,|
PLUTO-343,6,20,|3|4|5|,|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|,|
PLUTO-340,6,20,|4|5|6|7|8|,|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|,|
PLUTO-240,2,20,|3|,|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|,|
PLUTO-653,20,20,|20|,|20|,|
PLUTO-656,21,21,|20|,|20|21|,|
PLUTO-657,21,21,|20|,|20|21|,|
PLUTO-660,21,21,|20|,|20|21|,|
PLUTO-658,21,21,|20|,|20|21|,|
PLUTO-665,21,21,|20|,|20|21|,|
PLUTO-667,21,21,|20|,|20|21|,|
PLUTO-668,21,21,|20|,|20|21|,|
PLUTO-669,21,21,|20|,|20|21|,|
PLUTO-666,21,21,|20|,|20|21|,|
PLUTO-671,21,21,|20|,|20|21|,|
PLUTO-673,21,21,|20|,|20|21|,|
PLUTO-674,21,21,|20|,|20|21|,|
PLUTO-675,21,21,|20|,|20|21|,|
PLUTO-676,21,21,|20|,|20|21|,|
PLUTO-677,21,21,|20|,|20|21|,|
PLUTO-679,21,21,|20|,|20|21|,|
PLUTO-678,21,21,|20|,|20|21|,|
PLUTO-683,21,21,|20|,|20|21|,|
PLUTO-686,21,21,|20|,|20|21|,|
PLUTO-688,21,21,|20|,|20|21|,|
PLUTO-687,21,21,|20|,|20|21|,|
PLUTO-672,21,21,|20|,|20|21|,|
PLUTO-664,21,21,|20|,|20|21|,|
PLUTO-689,21,21,|20|,|20|21|,|
PLUTO-691,21,21,|20|,|20|21|,|
PLUTO-694,21,21,|20|,|20|21|,|
PLUTO-698,21,21,|20|,|20|21|,|
PLUTO-659,21,21,|20|,|20|21|,|
PLUTO-696,21,21,|20|,|20|21|,|
PLUTO-695,21,21,|20|,|20|21|,|
PLUTO-693,21,21,|20|,|20|21|,|
PLUTO-701,21,21,|20|,|20|21|,|
PLUTO-702,21,21,|20|,|20|21|,|
PLUTO-706,21,21,|20|,|20|21|,|
PLUTO-707,21,21,|20|,|20|21|,|
PLUTO-670,21,21,|20|,|20|21|,|
PLUTO-680,21,21,|20|,|20|21|,|
PLUTO-711,21,21,|20|,|20|21|,|
PLUTO-712,21,21,|20|,|20|21|,|
PLUTO-713,21,21,|20|,|20|21|,|
PLUTO-715,21,21,|20|,|20|21|,|
PLUTO-716,21,21,|21|,|21|,|
PLUTO-719,22,22,|21|,|21|22|,|
PLUTO-721,22,22,|21|,|21|22|,|
PLUTO-722,22,22,|21|,|21|22|,|
PLUTO-723,22,22,|21|,|21|22|,|
PLUTO-724,22,22,|21|,|21|22|,|
PLUTO-725,22,22,|21|,|21|22|,|
PLUTO-726,22,22,|21|,|21|22|,|
PLUTO-727,22,22,|20|21|,|20|21|22|,|
PLUTO-728,22,22,|20|21|,|20|21|22|,|
PLUTO-714,21,22,|20|,|20|21|22|,|
PLUTO-729,22,22,|20|21|,|20|21|22|,|
PLUTO-730,22,22,|20|21|,|20|21|22|,|
PLUTO-731,22,22,|20|21|,|20|21|22|,|
