Key,Closed Bugs,Closed Bugs w/o Affect Version,Percent w/o AV,Total Releases,Releases without Release Dates,Percent Releases w/o Dates,Num Bugs w/ AV after Fix,Percent Bugs w/ AV after Fix (out of Bugs w/ AV),Num Bugs w/ AV w/o Release Dates,Percent Bugs w/ AV w/o Release Date (out of Bugs w/ AV),Num Bugs w/ AV w/ Weird Names, Percent Bugs w/ AV w/ Weird Names (out of Bugs w/ AV),Num Bugs Missing Creation/Resolution Date,Percent Bugs Missing Creation/Resolution Date(out of Bugs w/ AV),Total Bugs w/ AV and a Problem,Percent Closed Bugs w/ AV and a Problem(out of Bugs w/ AV),Percent Closed Bugs w/ Problem Including Missing AV(out of Closed Bugs)
MRM,1045.0,180.0,0.1722488038277512,46.0,7.0,0.15217391304347827,46.0,0.05317919075144509,0.0,0.0,1.0,0.0011560693641618498,0.0,0.0,47.0,0.05433526011560694,0.21722488038277513
ARIES,285.0,149.0,0.5228070175438596,279.0,114.0,0.40860215053763443,12.0,0.08823529411764706,27.0,0.19852941176470587,0.0,0.0,0.0,0.0,39.0,0.2867647058823529,0.6596491228070176
AXIOM,268.0,231.0,0.8619402985074627,24.0,2.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8619402985074627
AXIS,329.0,139.0,0.42249240121580545,22.0,3.0,0.13636363636363635,1.0,0.005263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.005263157894736842,0.425531914893617
AXISCPP,712.0,254.0,0.35674157303370785,20.0,20.0,1.0,0.0,0.0,260.0,0.5676855895196506,201.0,0.4388646288209607,0.0,0.0,458.0,1.0,1.0
AXIS2,381.0,188.0,0.49343832020997375,42.0,5.0,0.11904761904761904,4.0,0.02072538860103627,4.0,0.02072538860103627,26.0,0.13471502590673576,0.0,0.0,34.0,0.17616580310880828,0.5826771653543307
AXIS2C,361.0,114.0,0.3157894736842105,23.0,3.0,0.13043478260869565,0.0,0.0,7.0,0.02834008097165992,140.0,0.5668016194331984,0.0,0.0,146.0,0.5910931174089069,0.7202216066481995
BEAM,643.0,531.0,0.8258164852255054,23.0,5.0,0.21739130434782608,5.0,0.044642857142857144,0.0,0.0,9.0,0.08035714285714286,0.0,0.0,14.0,0.125,0.8475894245723172
BEEHIVE,771.0,81.0,0.10505836575875487,7.0,1.0,0.14285714285714285,50.0,0.07246376811594203,0.0,0.0,3.0,0.004347826086956522,0.0,0.0,53.0,0.07681159420289856,0.17380025940337224
BIGTOP,771.0,134.0,0.17380025940337224,19.0,6.0,0.3157894736842105,48.0,0.07535321821036106,2.0,0.0031397174254317113,0.0,0.0,0.0,0.0,50.0,0.07849293563579278,0.23865110246433205
BOOKKEEPER,269.0,157.0,0.5836431226765799,14.0,0.0,0.0,1.0,0.008928571428571428,0.0,0.0,0.0,0.0,1.0,0.008928571428571428,2.0,0.017857142857142856,0.5910780669144982
BUILDR,398.0,58.0,0.1457286432160804,37.0,1.0,0.02702702702702703,3.0,0.008823529411764706,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.008823529411764706,0.15326633165829145
STDCXX,431.0,82.0,0.1902552204176334,10.0,2.0,0.2,0.0,0.0,13.0,0.03724928366762178,0.0,0.0,0.0,0.0,13.0,0.03724928366762178,0.22041763341067286
CACTUS,128.0,55.0,0.4296875,18.0,15.0,0.8333333333333334,0.0,0.0,67.0,0.9178082191780822,0.0,0.0,0.0,0.0,67.0,0.9178082191780822,0.953125
CALCITE,1421.0,1066.0,0.7501759324419423,41.0,6.0,0.14634146341463414,4.0,0.011267605633802818,0.0,0.0,5.0,0.014084507042253521,0.0,0.0,9.0,0.02535211267605634,0.7565095003518649
CAMEL,1491.0,209.0,0.14017437961099932,133.0,10.0,0.07518796992481203,62.0,0.0483619344773791,0.0,0.0,1.0,7.8003120124805E-4,0.0,0.0,63.0,0.04914196567862714,0.18242790073775988
CARBONDATA,251.0,84.0,0.3346613545816733,19.0,5.0,0.2631578947368421,0.0,0.0,0.0,0.0,1.0,0.005988023952095809,0.0,0.0,1.0,0.005988023952095809,0.3386454183266932
CAY,1060.0,128.0,0.12075471698113208,51.0,21.0,0.4117647058823529,212.0,0.22746781115879827,417.0,0.44742489270386265,1.0,0.001072961373390558,0.0,0.0,595.0,0.6384120171673819,0.6820754716981132
CELIX,214.0,192.0,0.897196261682243,7.0,4.0,0.5714285714285714,0.0,0.0,1.0,0.045454545454545456,2.0,0.09090909090909091,0.0,0.0,3.0,0.13636363636363635,0.9112149532710281
CLEREZZA,176.0,176.0,1.0,2.0,2.0,1.0,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,1.0
CLK,226.0,170.0,0.7522123893805309,24.0,22.0,0.9166666666666666,2.0,0.03571428571428571,50.0,0.8928571428571429,0.0,0.0,0.0,0.0,52.0,0.9285714285714286,0.9823008849557522
COCOON,1474.0,35.0,0.023744911804613297,31.0,3.0,0.0967741935483871,142.0,0.09867963863794302,278.0,0.1931897150799166,0.0,0.0,0.0,0.0,420.0,0.2918693537178596,0.30868385345997285
BCEL,110.0,31.0,0.2818181818181818,11.0,4.0,0.36363636363636365,0.0,0.0,13.0,0.16455696202531644,20.0,0.25316455696202533,0.0,0.0,33.0,0.4177215189873418,0.5818181818181818
BEANUTILS,241.0,53.0,0.21991701244813278,21.0,5.0,0.23809523809523808,0.0,0.0,0.0,0.0,32.0,0.1702127659574468,0.0,0.0,32.0,0.1702127659574468,0.35269709543568467
CLI,144.0,39.0,0.2708333333333333,11.0,5.0,0.45454545454545453,0.0,0.0,6.0,0.05714285714285714,11.0,0.10476190476190476,0.0,0.0,17.0,0.1619047619047619,0.3888888888888889
COLLECTIONS,310.0,59.0,0.19032258064516128,18.0,4.0,0.2222222222222222,5.0,0.0199203187250996,7.0,0.027888446215139442,36.0,0.14342629482071714,0.0,0.0,45.0,0.17928286852589642,0.33548387096774196
CONFIGURATION,286.0,39.0,0.13636363636363635,23.0,4.0,0.17391304347826086,1.0,0.004048582995951417,11.0,0.044534412955465584,21.0,0.08502024291497975,0.0,0.0,31.0,0.12550607287449392,0.24475524475524477
DBCP,329.0,85.0,0.25835866261398177,23.0,7.0,0.30434782608695654,5.0,0.020491803278688523,2.0,0.00819672131147541,32.0,0.13114754098360656,0.0,0.0,38.0,0.1557377049180328,0.3738601823708207
FILEUPLOAD,162.0,33.0,0.2037037037037037,16.0,3.0,0.1875,0.0,0.0,1.0,0.007751937984496124,11.0,0.08527131782945736,0.0,0.0,12.0,0.09302325581395349,0.2777777777777778
IO,219.0,52.0,0.2374429223744292,17.0,2.0,0.11764705882352941,1.0,0.005988023952095809,3.0,0.017964071856287425,0.0,0.0,0.0,0.0,3.0,0.017964071856287425,0.2511415525114155
JCS,105.0,30.0,0.2857142857142857,12.0,3.0,0.25,6.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.08,0.34285714285714286
LANG,585.0,159.0,0.2717948717948718,31.0,8.0,0.25806451612903225,7.0,0.01643192488262911,5.0,0.011737089201877934,0.0,0.0,0.0,0.0,12.0,0.028169014084507043,0.2923076923076923
LOGGING,111.0,27.0,0.24324324324324326,13.0,3.0,0.23076923076923078,0.0,0.0,3.0,0.03571428571428571,19.0,0.2261904761904762,0.0,0.0,21.0,0.25,0.43243243243243246
MATH,567.0,190.0,0.3350970017636684,19.0,3.0,0.15789473684210525,16.0,0.042440318302387266,5.0,0.013262599469496022,0.0,0.0,0.0,0.0,21.0,0.05570291777188329,0.37213403880070545
NET,398.0,65.0,0.16331658291457288,22.0,4.0,0.18181818181818182,0.0,0.0,6.0,0.018018018018018018,17.0,0.05105105105105105,0.0,0.0,23.0,0.06906906906906907,0.22110552763819097
POOL,180.0,47.0,0.2611111111111111,32.0,6.0,0.1875,9.0,0.06766917293233082,0.0,0.0,8.0,0.06015037593984962,0.0,0.0,17.0,0.12781954887218044,0.35555555555555557
VALIDATOR,210.0,57.0,0.2714285714285714,16.0,3.0,0.1875,0.0,0.0,0.0,0.0,45.0,0.29411764705882354,0.0,0.0,45.0,0.29411764705882354,0.4857142857142857
VFS,216.0,63.0,0.2916666666666667,9.0,4.0,0.4444444444444444,0.0,0.0,0.0,0.0,34.0,0.2222222222222222,0.0,0.0,34.0,0.2222222222222222,0.44907407407407407
CONTINUUM,1356.0,261.0,0.19247787610619468,35.0,5.0,0.14285714285714285,25.0,0.0228310502283105,29.0,0.026484018264840183,0.0,0.0,0.0,0.0,54.0,0.049315068493150684,0.2323008849557522
COUCHDB,1261.0,681.0,0.5400475812846947,40.0,9.0,0.225,56.0,0.09655172413793103,3.0,0.005172413793103448,0.0,0.0,0.0,0.0,59.0,0.10172413793103448,0.5868358445678034
CRUNCH,301.0,140.0,0.46511627906976744,18.0,1.0,0.05555555555555555,5.0,0.031055900621118012,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.031055900621118012,0.48172757475083056
CXF,4639.0,847.0,0.18258245311489546,167.0,6.0,0.03592814371257485,263.0,0.06935654008438819,0.0,0.0,0.0,0.0,0.0,0.0,263.0,0.06935654008438819,0.23927570597111447
DOSGI,119.0,48.0,0.40336134453781514,16.0,2.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40336134453781514
DAFFODIL,814.0,410.0,0.5036855036855037,29.0,4.0,0.13793103448275862,10.0,0.024752475247524754,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.024752475247524754,0.515970515970516
DTACLOUD,364.0,364.0,1.0,0.0,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,1.0
DELTASPIKE,388.0,50.0,0.12886597938144329,34.0,2.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12886597938144329
DERBY,3503.0,361.0,0.10305452469312018,53.0,23.0,0.4339622641509434,757.0,0.24092934436664545,177.0,0.05633354551241248,0.0,0.0,0.0,0.0,905.0,0.2880330999363463,0.36140451041964033
DIRSERVER,921.0,209.0,0.2269272529858849,50.0,9.0,0.18,211.0,0.29634831460674155,14.0,0.019662921348314606,0.0,0.0,0.0,0.0,225.0,0.3160112359550562,0.47122692725298587
DIRAPI,100.0,14.0,0.14,45.0,4.0,0.08888888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14
DIRSTUDIO,418.0,42.0,0.10047846889952153,32.0,4.0,0.125,2.0,0.005319148936170213,2.0,0.005319148936170213,0.0,0.0,0.0,0.0,4.0,0.010638297872340425,0.11004784688995216
EAGLE,139.0,45.0,0.3237410071942446,9.0,7.0,0.7777777777777778,0.0,0.0,46.0,0.48936170212765956,0.0,0.0,0.0,0.0,46.0,0.48936170212765956,0.6546762589928058
FALCON,175.0,74.0,0.4228571428571429,14.0,6.0,0.42857142857142855,26.0,0.25742574257425743,0.0,0.0,9.0,0.0891089108910891,0.0,0.0,34.0,0.33663366336633666,0.6171428571428571
FELIX,2327.0,542.0,0.23291792006875806,756.0,93.0,0.12301587301587301,27.0,0.015126050420168067,23.0,0.01288515406162465,0.0,0.0,0.0,0.0,50.0,0.028011204481792718,0.25440481306403095
FLINK,3175.0,1341.0,0.42236220472440944,65.0,19.0,0.2923076923076923,474.0,0.2584514721919302,301.0,0.16412213740458015,0.0,0.0,0.0,0.0,745.0,0.40621592148309704,0.657007874015748
FLUME,239.0,58.0,0.24267782426778242,28.0,13.0,0.4642857142857143,1.0,0.0055248618784530384,83.0,0.4585635359116022,0.0,0.0,0.0,0.0,84.0,0.46408839779005523,0.5941422594142259
FOP,1723.0,54.0,0.03134068485200232,23.0,16.0,0.6956521739130435,0.0,0.0,764.0,0.45775913720790895,730.0,0.4373876572798083,0.0,0.0,1494.0,0.8951467944877172,0.8984329657573998
FOR,365.0,60.0,0.1643835616438356,13.0,11.0,0.8461538461538461,0.0,0.0,187.0,0.6131147540983607,0.0,0.0,0.0,0.0,187.0,0.6131147540983607,0.6767123287671233
FTPSERVER,204.0,61.0,0.29901960784313725,18.0,3.0,0.16666666666666666,4.0,0.027972027972027972,1.0,0.006993006993006993,0.0,0.0,0.0,0.0,4.0,0.027972027972027972,0.31862745098039214
GEODE,2513.0,2186.0,0.8698766414643851,16.0,2.0,0.125,48.0,0.14678899082568808,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.14678899082568808,0.8889773179466772
GERONIMO,352.0,128.0,0.36363636363636365,97.0,51.0,0.5257731958762887,0.0,0.0,223.0,0.9955357142857143,0.0,0.0,0.0,0.0,223.0,0.9955357142857143,0.9971590909090909
GERONIMODEVTOOLS,217.0,55.0,0.2534562211981567,26.0,7.0,0.2692307692307692,39.0,0.24074074074074073,22.0,0.13580246913580246,0.0,0.0,0.0,0.0,57.0,0.35185185185185186,0.5161290322580645
GROOVY,5145.0,867.0,0.16851311953352768,194.0,8.0,0.041237113402061855,84.0,0.019635343618513323,16.0,0.0037400654511453952,0.0,0.0,0.0,0.0,100.0,0.02337540906965872,0.1879494655004859
HADOOP,3835.0,1175.0,0.30638852672750977,186.0,50.0,0.26881720430107525,846.0,0.3180451127819549,87.0,0.03270676691729323,10.0,0.0037593984962406013,0.0,0.0,909.0,0.34172932330827066,0.5434159061277706
HDFS,1885.0,422.0,0.22387267904509284,144.0,64.0,0.4444444444444444,592.0,0.40464798359535203,39.0,0.026657552973342446,3.0,0.002050580997949419,0.0,0.0,619.0,0.4231032125768968,0.5522546419098143
MAPREDUCE,1661.0,380.0,0.22877784467188442,110.0,29.0,0.2636363636363636,606.0,0.47306791569086654,34.0,0.02654176424668228,2.0,0.00156128024980484,0.0,0.0,628.0,0.49024199843871974,0.6068633353401566
YARN,871.0,301.0,0.3455797933409874,96.0,36.0,0.375,98.0,0.17192982456140352,0.0,0.0,1.0,0.0017543859649122807,0.0,0.0,99.0,0.1736842105263158,0.4592422502870264
HARMONY,3137.0,2938.0,0.9365635957921581,17.0,2.0,0.11764705882352941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9365635957921581
HBASE,5187.0,2459.0,0.47406978985926357,223.0,54.0,0.242152466367713,935.0,0.34274193548387094,18.0,0.006598240469208211,0.0,0.0,0.0,0.0,943.0,0.3456744868035191,0.6558704453441295
HCATALOG,207.0,60.0,0.2898550724637681,9.0,6.0,0.6666666666666666,1.0,0.006802721088435374,58.0,0.3945578231292517,0.0,0.0,0.0,0.0,58.0,0.3945578231292517,0.5700483091787439
HIVE,5334.0,2592.0,0.4859392575928009,75.0,37.0,0.49333333333333335,315.0,0.11487964989059081,259.0,0.09445660102115244,0.0,0.0,0.0,0.0,541.0,0.19730123997082422,0.5873640794900638
HTTPCLIENT,1144.0,197.0,0.17220279720279721,90.0,7.0,0.07777777777777778,10.0,0.010559662090813094,1.0,0.0010559662090813093,2.0,0.0021119324181626186,0.0,0.0,13.0,0.013727560718057022,0.18356643356643357
HTTPCORE,214.0,43.0,0.20093457943925233,63.0,6.0,0.09523809523809523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20093457943925233
IBATISNET,125.0,37.0,0.296,20.0,4.0,0.2,2.0,0.022727272727272728,7.0,0.07954545454545454,0.0,0.0,0.0,0.0,9.0,0.10227272727272728,0.368
IBATIS,374.0,66.0,0.17647058823529413,26.0,7.0,0.2692307692307692,0.0,0.0,120.0,0.38961038961038963,0.0,0.0,0.0,0.0,120.0,0.38961038961038963,0.49732620320855614
IGNITE,1754.0,633.0,0.36088939566704675,31.0,7.0,0.22580645161290322,47.0,0.04192685102586976,24.0,0.021409455842997322,0.0,0.0,0.0,0.0,71.0,0.06333630686886708,0.4013683010262258
IMPALA,166.0,36.0,0.21686746987951808,79.0,40.0,0.5063291139240507,5.0,0.038461538461538464,24.0,0.18461538461538463,2.0,0.015384615384615385,0.0,0.0,31.0,0.23846153846153847,0.4036144578313253
INFRA,3834.0,3834.0,1.0,57.0,0.0,0.0,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,1.0
ISIS,465.0,73.0,0.15698924731182795,100.0,17.0,0.17,22.0,0.05612244897959184,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.05612244897959184,0.20430107526881722
IVY,143.0,20.0,0.13986013986013987,34.0,4.0,0.11764705882352941,2.0,0.016260162601626018,0.0,0.0,13.0,0.10569105691056911,0.0,0.0,15.0,0.12195121951219512,0.24475524475524477
JCR,1775.0,637.0,0.3588732394366197,208.0,19.0,0.09134615384615384,108.0,0.09490333919156414,2.0,0.0017574692442882249,0.0,0.0,0.0,0.0,109.0,0.09578207381370826,0.42028169014084504
JCRVLT,127.0,52.0,0.4094488188976378,24.0,2.0,0.08333333333333333,1.0,0.013333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.013333333333333334,0.41732283464566927
OAK,2646.0,1795.0,0.6783824640967498,243.0,6.0,0.024691358024691357,29.0,0.03407755581668625,3.0,0.0035252643948296123,0.0,0.0,0.0,0.0,32.0,0.03760282021151586,0.6904761904761905
JAMES,697.0,308.0,0.4418938307030129,29.0,21.0,0.7241379310344828,0.0,0.0,190.0,0.4884318766066838,71.0,0.18251928020565553,0.0,0.0,246.0,0.6323907455012854,0.7948350071736011
JCLOUDS,128.0,23.0,0.1796875,24.0,2.0,0.08333333333333333,23.0,0.21904761904761905,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.21904761904761905,0.359375
JDO,404.0,233.0,0.5767326732673267,13.0,2.0,0.15384615384615385,1.0,0.005847953216374269,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.005847953216374269,0.5792079207920792
JS2,597.0,52.0,0.08710217755443886,24.0,11.0,0.4583333333333333,32.0,0.05871559633027523,193.0,0.3541284403669725,0.0,0.0,0.0,0.0,225.0,0.41284403669724773,0.4639865996649916
JSPWIKI,318.0,27.0,0.08490566037735849,30.0,7.0,0.23333333333333334,10.0,0.03436426116838488,50.0,0.1718213058419244,0.0,0.0,0.0,0.0,58.0,0.19931271477663232,0.2672955974842767
JUDDI,524.0,219.0,0.4179389312977099,37.0,5.0,0.13513513513513514,10.0,0.03278688524590164,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.03278688524590164,0.43702290076335876
KAFKA,409.0,106.0,0.2591687041564792,46.0,14.0,0.30434782608695654,49.0,0.1617161716171617,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.1617161716171617,0.37897310513447435
KARAF,476.0,116.0,0.24369747899159663,140.0,21.0,0.15,40.0,0.1111111111111111,4.0,0.011111111111111112,0.0,0.0,0.0,0.0,43.0,0.11944444444444445,0.33403361344537813
KYLIN,1590.0,774.0,0.4867924528301887,41.0,11.0,0.2682926829268293,16.0,0.0196078431372549,106.0,0.12990196078431374,17.0,0.020833333333333332,0.0,0.0,136.0,0.16666666666666666,0.5723270440251572
LIBCLOUD,143.0,90.0,0.6293706293706294,44.0,1.0,0.022727272727272728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6293706293706294
LOG4J2,557.0,79.0,0.14183123877917414,46.0,9.0,0.1956521739130435,0.0,0.0,10.0,0.02092050209205021,0.0,0.0,0.0,0.0,10.0,0.02092050209205021,0.15978456014362658
LUCENE,2438.0,1238.0,0.5077932731747334,142.0,32.0,0.22535211267605634,244.0,0.20333333333333334,22.0,0.018333333333333333,1.0,8.333333333333334E-4,0.0,0.0,265.0,0.22083333333333333,0.6164889253486464
LUCENENET,347.0,304.0,0.8760806916426513,17.0,4.0,0.23529411764705882,4.0,0.09302325581395349,6.0,0.13953488372093023,0.0,0.0,0.0,0.0,10.0,0.23255813953488372,0.9048991354466859
MAHOUT,707.0,154.0,0.21782178217821782,25.0,6.0,0.24,2.0,0.003616636528028933,16.0,0.028933092224231464,0.0,0.0,0.0,0.0,18.0,0.0325497287522604,0.24328147100424327
MARMOTTA,219.0,50.0,0.228310502283105,11.0,3.0,0.2727272727272727,9.0,0.05325443786982249,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.05325443786982249,0.2694063926940639
MNG,2979.0,557.0,0.18697549513259484,76.0,22.0,0.2894736842105263,132.0,0.054500412881915775,98.0,0.04046242774566474,10.0,0.004128819157720892,0.0,0.0,239.0,0.09867877786952932,0.26720375965088955
MANTTASKS,167.0,37.0,0.2215568862275449,20.0,11.0,0.55,0.0,0.0,19.0,0.14615384615384616,0.0,0.0,0.0,0.0,19.0,0.14615384615384616,0.33532934131736525
MANTRUN,113.0,39.0,0.34513274336283184,12.0,3.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34513274336283184
ARCHETYPE,260.0,74.0,0.2846153846153846,20.0,5.0,0.25,0.0,0.0,12.0,0.06451612903225806,1.0,0.005376344086021506,0.0,0.0,13.0,0.06989247311827956,0.3346153846153846
MASSEMBLY,557.0,102.0,0.18312387791741472,28.0,4.0,0.14285714285714285,19.0,0.041758241758241756,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.041758241758241756,0.21723518850987433
MCHANGES,160.0,35.0,0.21875,20.0,3.0,0.15,1.0,0.008,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.008,0.225
MCHECKSTYLE,177.0,40.0,0.22598870056497175,24.0,2.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22598870056497175
MCOMPILER,213.0,62.0,0.29107981220657275,25.0,3.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29107981220657275
